"","Depth","median","d.0.5","Fraction","Percentage"
"11",1,1025,37.379,"sumdepth2",1.69841
"12",1,1025,37.379,"sumdepth69",72.110032
"13",1,1025,37.379,"sumdepth_sand",26.191556
"14",1,1025,37.379,"sumdepth_sand_coarse",8.614625
"55",5,4221,30.084,"sumdepth2",1.878826
"56",5,4221,30.084,"sumdepth69",78.592543
"57",5,4221,30.084,"sumdepth_sand",19.528633
"58",5,4221,30.084,"sumdepth_sand_coarse",6.937438
"79",7,4405,39.621,"sumdepth2",1.359604
"80",7,4405,39.621,"sumdepth69",70.920789
"81",7,4405,39.621,"sumdepth_sand",27.719607
"82",7,4405,39.621,"sumdepth_sand_coarse",9.1885
"113",10,4709,26.874,"sumdepth2",2.361706
"114",10,4709,26.874,"sumdepth69",80.615423
"115",10,4709,26.874,"sumdepth_sand",17.022869
"116",10,4709,26.874,"sumdepth_sand_coarse",6.198761
"137",12,4896,26.934,"sumdepth2",2.557939
"138",12,4896,26.934,"sumdepth69",80.525318
"139",12,4896,26.934,"sumdepth_sand",16.91674
"140",12,4896,26.934,"sumdepth_sand_coarse",5.374658
"226",23,6767,27.585,"sumdepth2",4.692789
"227",23,6767,27.585,"sumdepth69",74.804462
"228",23,6767,27.585,"sumdepth_sand",20.502749
"229",23,6767,27.585,"sumdepth_sand_coarse",6.750308
"250",25,7011,30.609,"sumdepth2",3.301008
"251",25,7011,30.609,"sumdepth69",75.355861
"252",25,7011,30.609,"sumdepth_sand",21.34313
"253",25,7011,30.609,"sumdepth_sand_coarse",7.565768
"284",28,7168,25.433,"sumdepth2",2.394788
"285",28,7168,25.433,"sumdepth69",75.432237
"286",28,7168,25.433,"sumdepth_sand",22.172977
"287",28,7168,25.433,"sumdepth_sand_coarse",8.70843
"308",30,7301,26.334,"sumdepth2",3.787251
"309",30,7301,26.334,"sumdepth69",76.831657
"310",30,7301,26.334,"sumdepth_sand",19.381094
"311",30,7301,26.334,"sumdepth_sand_coarse",7.374269
"332",32,7468,17.716,"sumdepth2",5.153383
"333",32,7468,17.716,"sumdepth69",77.313127
"334",32,7468,17.716,"sumdepth_sand",17.533492
"335",32,7468,17.716,"sumdepth_sand_coarse",7.631367
"376",36,8081,23.814,"sumdepth2",2.776186
"377",36,8081,23.814,"sumdepth69",80.318088
"378",36,8081,23.814,"sumdepth_sand",16.905728
"379",36,8081,23.814,"sumdepth_sand_coarse",6.04934
"400",38,8570,22.096,"sumdepth2",2.291353
"401",38,8570,22.096,"sumdepth69",84.110632
"402",38,8570,22.096,"sumdepth_sand",13.6001
"403",38,8570,22.096,"sumdepth_sand_coarse",5.568224
"444",42,9470,16.602,"sumdepth2",9.478023
"445",42,9470,16.602,"sumdepth69",76.88272
"446",42,9470,16.602,"sumdepth_sand",13.639257
"447",42,9470,16.602,"sumdepth_sand_coarse",4.708512
"468",44,9989,10.15,"sumdepth2",17.595938
"469",44,9989,10.15,"sumdepth69",75.57308
"470",44,9989,10.15,"sumdepth_sand",6.83098
"471",44,9989,10.15,"sumdepth_sand_coarse",0.543253
"503",47,11099,10.229,"sumdepth2",16.846076
"504",47,11099,10.229,"sumdepth69",71.884039
"505",47,11099,10.229,"sumdepth_sand",11.269885
"506",47,11099,10.229,"sumdepth_sand_coarse",3.44974
"557",52,12826,8.259,"sumdepth2",19.673263
"558",52,12826,8.259,"sumdepth69",67.887329
"559",52,12826,8.259,"sumdepth_sand",12.439407
"560",52,12826,8.259,"sumdepth_sand_coarse",4.384132
"591",55,13912,5.983,"sumdepth2",23.149585
"592",55,13912,5.983,"sumdepth69",76.208147
"593",55,13912,5.983,"sumdepth_sand",0.642271
"594",55,13912,5.983,"sumdepth_sand_coarse",0
"625",58,15344,11.517,"sumdepth2",18.227584
"626",58,15344,11.517,"sumdepth69",62.628283
