"","median","Depth","NorMoroll"
"1",5051,12.2,6.14124885647258
"2",5061,12.3,6.15765374356423
"3",5073,12.4,6.15511210951626
"4",5083,12.5,6.1673340443824
"5",5091,12.6,6.17035640325022
"6",5102,12.7,6.1693922460343
"7",5114,12.8,6.17930333203777
"8",5123,12.9,6.18824298579836
"9",5135,13,6.18634004543146
"10",5146,13.1,6.18630926116413
"11",5158,13.2,6.14654891836055
"12",5167,13.3,6.12033330983775
"13",5177,13.4,6.08803660436572
"14",5188,13.5,6.07798681029728
"15",5198,13.6,6.04581987669694
"16",5212,13.7,6.02555576448896
"17",5225,13.8,5.98715021522058
"18",5237,13.9,5.98032260821986
"19",5247,14,5.96671670649571
"20",5261,14.1,5.94170706014176
"21",5273,14.2,5.93256499969759
"22",5284,14.3,5.9205034100549
"23",5298,14.4,5.9185064830686
"24",5313,14.5,5.91559455595207
"25",5321,14.6,5.91762808145733
"26",5332,14.7,5.93065484486188
"27",5344,14.8,5.95526185472294
"28",5356,14.9,5.93815262407958
"29",5365,15,5.93187738326857
"30",5385,15.1,5.91809916630624
"31",5405,15.2,5.91747265112335
"32",5426,15.3,5.92243301226083
"33",5445,15.4,5.92638068883991
"34",5465,15.5,5.91394819010345
"35",5488,15.6,5.90674725330744
"36",5508,15.7,5.89180046147349
"37",5529,15.8,5.87558256839486
"38",5556,15.9,5.88838173822435
"39",5580,16,5.90049244174079
"40",5599,16.1,5.9314713933367
"41",5620,16.2,5.93608235387934
"42",5642,16.3,5.92560703257531
"43",5662,16.4,5.93648879211545
"44",5688,16.5,5.96436435562523
"45",5712,16.6,5.99473066278749
"46",5732,16.7,6.01843767275975
"47",5755,16.8,6.03417637085603
"48",5777,16.9,6.04868748399635
"49",5797,17,6.05533217240004
"50",5818,17.1,6.05014203972724
"51",5840,17.2,6.05803222378004
"52",5863,17.3,6.08482658032347
"53",5888,17.4,6.08302097052567
"54",5912,17.5,6.06820265966002
"55",5939,17.6,6.07459783047696
"56",5962,17.7,6.11734987332476
"57",5985,17.8,6.12464549486705
"58",6007,17.9,6.10909869587356
"59",6027,18,6.11916161676631
"60",6047,18.1,6.13044434744461
"61",6067,18.2,6.15086824662723
"62",6089,18.3,6.15049554976534
"63",6111,18.4,6.16339342944173
"64",6565,21,6.19465160785002
"65",6580,21.1,6.20009576735133
"66",6589,21.2,6.17202670366158
"67",6599,21.3,6.20437472413334
"68",6612,21.4,6.23003555991278
"69",6622,21.5,6.26120523592982
"70",6633,21.6,6.30705962212236
"71",6651,21.7,6.3545898046162
"72",6664,21.8,6.40271678045399
"73",6680,21.9,6.43353012125728
"74",6696,22,6.4304134106823
"75",6710,22.1,6.45294251370782
"76",6724,22.2,6.48461117686618
"77",6738,22.3,6.48270928684187
"78",6751,22.4,6.48273506739798
"79",6761,22.5,6.41970928878467
"80",6776,22.6,6.3630954599338
"81",6791,22.7,6.27733716318363
"82",6803,22.8,6.18360221410989
"83",6819,22.9,6.07097116032244
"84",6831,23,5.98414052095008
"85",6845,23.1,5.87248988152198
"86",6860,23.2,5.70382030388188
"87",6877,23.3,5.72954934187799
"88",6894,23.4,5.76169506526434
"89",6907,23.5,5.83923496641444
"90",6921,23.6,5.90385395397843
"91",6942,23.7,5.9952586115454
"92",6954,23.8,6.08929308555515
"93",6967,23.9,6.22174007161572
"94",6980,24,6.31191427727616
"95",6997,24.1,6.42434951776501
"96",7008,24.2,6.58208742548931
"97",7022,24.3,6.56481717464532
"98",7031,24.4,6.53594528065368
"99",7044,24.5,6.5098077563574
"100",7056,24.6,6.47671110347402
"101",7067,24.7,6.43218335527869
"102",7077,24.8,6.40633910337129
"103",7087,24.9,6.37958500430752
"104",7099,25,6.38821961009943
"105",7103,25.1,6.36985682399598
"106",7110,25.2,6.37407419701777
"107",7115,25.3,6.36091451785264
"108",7120,25.4,6.37312358536698
"109",7123,25.5,6.38040393199404
"110",7127,25.6,6.38270347776155
"111",7130,25.7,6.38041519242557
"112",7137,25.8,6.37220404987369
"113",7143,25.9,6.34762361401586
"114",7148,26,6.29815809556863
"115",7155,26.1,6.25973120960209
"116",7158,26.2,6.19980232026379
"117",7165,26.3,6.13723583098296
"118",7175,26.4,6.05913045418186
"119",7179,26.5,5.9856979938637
"120",7184,26.6,5.92295853616088
"121",7189,26.7,5.91739046344238
"122",7195,26.8,5.92240006650075
"123",7200,26.9,5.94833272028034
"124",7205,27,5.99453757146131
"125",7210,27.1,6.03713245182522
"126",7215,27.2,6.09387503617984
"127",7219,27.3,6.17482972244253
"128",7224,27.4,6.26950373911035
"129",7230,27.5,6.3641706089084
"130",7235,27.6,6.46228740012932
"131",7239,27.7,6.50055873380443
"132",7242,27.8,6.52157280772241
"133",7246,27.9,6.5415991578371
"134",7253,28,6.56975362726559
"135",7257,28.1,6.60078176402704
"136",7262,28.2,6.63385937091002
"137",7267,28.3,6.66661947590986
"138",7272,28.4,6.69498058713095
"139",7277,28.5,6.71058444925816
"140",7282,28.6,6.70841597802653
"141",7288,28.7,6.72043485514501
"142",7294,28.8,6.7513423440476
"143",7300,28.9,6.77789316492729
"144",7305,29,6.79261262208307
"145",7310,29.1,6.80789127141764
"146",7315,29.2,6.81098154429304
"147",7321,29.3,6.79846882265446
"148",7328,29.4,6.76603118067902
"149",7334,29.5,6.74427479541706
"150",7340,29.6,6.74907002274321
"151",7345,29.7,6.74586622392379
"152",7352,29.8,6.7506454910999
"153",7356,29.9,6.74793502420588
"154",7363,30,6.73934742879026
"155",7372,30.1,6.74705959000009
"156",7382,30.2,6.74666838744707
"157",7392,30.3,6.75477662124895
"158",7402,30.4,6.77638784841457
"159",7413,30.5,6.799774473289
"160",7421,30.6,6.78369937415366
"161",7430,30.7,6.76381778099978
"162",7438,30.8,6.75539172975975
"163",7448,30.9,6.74613562192259
"164",7456,31,6.76411284252253
"165",7465,31.1,6.76182128722783
