"","X.1","X","median","Identifier","Depth","d_g_wet_sed","NorTi.x","NorAl.x","NorSi.x","NorSr","NorRb","NorCa","NorFe.x","sedrate.mm","Water","Dry_bulk_density2","Fraction","Percentage","averaged.d13C","averaged.C.N","averaged.d15N","averaged.C","averaged.N","max","min","mean","Depth.mm","d.0.5","PrC","age_k","Fe_Ti","Si_Ti","Si_Al.x","NorSi.y","NorAl.y","NorTi.y","NorFe.y","Al_Si","Si_Al.y","Ti_Al","roll_Al_Si","roll_Si_Al","roll_Ti_Al","roll_Fe","sumdepth_sand_coarse","roll_Ti"
"1",1,1,328,26,0,6099596.58422591,NA,NA,NA,NA,NA,NA,NA,0.121951219512195,NA,NA,NA,NA,-23.64,11.2,2.81,16.2,1.438,-46,932,353,0,NA,NA,0.328,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",2,1,328,26,0,6099596.58422591,NA,NA,NA,NA,NA,NA,NA,0.121951219512195,NA,NA,NA,NA,-23.64,11.2,2.81,16.2,1.438,-46,932,353,0,NA,NA,0.328,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",3,1,328,26,0,6099596.58422591,NA,NA,NA,NA,NA,NA,NA,0.121951219512195,NA,NA,NA,NA,-23.64,11.2,2.81,16.2,1.438,-46,932,353,0,NA,NA,0.328,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4",4,1,328,26,0,6099596.58422591,NA,NA,NA,NA,NA,NA,NA,0.121951219512195,NA,NA,NA,NA,-23.64,11.2,2.81,16.2,1.438,-46,932,353,0,NA,NA,0.328,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5",5,1,328,26,0,6099596.58422591,NA,NA,NA,NA,NA,NA,NA,0.121951219512195,NA,NA,NA,NA,-23.64,11.2,2.81,16.2,1.438,-46,932,353,0,NA,NA,0.328,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",6,1,328,26,0,6099596.58422591,NA,NA,NA,NA,NA,NA,NA,0.121951219512195,NA,NA,NA,NA,-23.64,11.2,2.81,16.2,1.438,-46,932,353,0,NA,NA,0.328,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7",7,2,328,26,0,6099596.58422591,NA,NA,NA,NA,NA,NA,NA,0.121951219512195,NA,NA,NA,NA,-23.64,11.2,2.81,16.2,1.438,-46,932,353,0,NA,NA,0.328,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8",8,2,328,26,0,6099596.58422591,NA,NA,NA,NA,NA,NA,NA,0.121951219512195,NA,NA,NA,NA,-23.64,11.2,2.81,16.2,1.438,-46,932,353,0,NA,NA,0.328,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9",9,2,328,26,0,6099596.58422591,NA,NA,NA,NA,NA,NA,NA,0.121951219512195,NA,NA,NA,NA,-23.64,11.2,2.81,16.2,1.438,-46,932,353,0,NA,NA,0.328,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",10,2,328,26,0,6099596.58422591,NA,NA,NA,NA,NA,NA,NA,0.121951219512195,NA,NA,NA,NA,-23.64,11.2,2.81,16.2,1.438,-46,932,353,0,NA,NA,0.328,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
