ID,age,depth,When,Type,,,,,,,,,,
OZX673,4200,6,2019,Hypy,,,,,,,,,,
OZX674,9925.5,41,2019,Hypy,,,,,,,,,,
OZX675,18471,65,2019,Hypy,,,,,,,,,,
OZX675,28306,135,2019,Hypy,,,,,,,,,,
OZX676,30242,144,2019,Hypy,,,,,,,,,,
OZX677,31110,160,2019,Hypy,,,,,,,,,,
OZV334,8055,22.5,2017,Hypy,,,,,,,,,,
OZU816,9675,52.5,2017,Hypy,,,,,,,,,,
OZU817,15963,94.5,2017,Hypy,,,,,,,,,,
OZV335,15327,127.5,2017,Hypy,,,,,,,,,,
OZV336,25213,184.5,2017,Hypy,,,,,,,,,,
OZW503,8654.5,10,2018,Hypy,,,,,,,,,,
OZW502,8110.25,22,2018,Organics,,,,,,,,,,
OZW500,8044.75,50,2018,Organics,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,8715.5,8593.5,8952.5,8549,,,,,
,,,,,OZW502,8167,8053.5,8180,8021.5,,,,,
,,,,,OZW500,8151.5,7938,8173.5,7865,,,,,
