"","Depth","Identifier","max","min","median","mean"
"1",6,"32",3940,4399,4182,4181
"2",7,"33",4018,4572,4292,4292
"3",8,"34",4050,4810,4390,4403
"4",9,"35",4090,5054,4483,4514
"5",10,"36",4114,5326,4573,4625
"6",11,"37",4132,5593,4668,4737
"7",12,"38",4285,5691,4816,4871
"8",13,"39",4352,5819,4979,5006
"9",14,"38",4403,5958,5121,5140
"10",15,"39",4443,6189,5257,5275
"11",22,"50",5257,6873,6131,6106
"12",23,"51",5450,6913,6247,6221
"13",24,"52",5585,6969,6358,6337
"14",25,"53",5663,7050,6486,6452
"15",26,"54",5752,7167,6615,6568
"16",27,"55",6013,7193,6716,6683
"17",28,"56",6273,7227,6816,6798
"18",29,"57",6492,7272,6923,6913
"19",30,"58",6670,7329,7035,7028
"20",31,"59",6801,7422,7148,7143
"21",32,"60",7253,7502,7370,7371
"22",33,"61",7399,7848,7591,7600
"23",34,"62",7445,8329,7809,7828
"24",35,"63",7478,8826,8026,8057
"25",36,"64",7510,9308,8244,8285
"26",37,"65",7917,9371,8509,8544
"27",38,"66",8328,9445,8774,8803
"28",39,"67",8729,9522,9040,9061
"29",40,"68",9106,9618,9305,9320
"30",41,"69",9411,9857,9565,9579
"31",42,"70",9613,10359,9867,9904
"32",43,"71",9661,11216,10147,10228
"33",44,"72",9703,12092,10424,10553
"34",45,"73",9743,12956,10704,10878
"35",46,"74",9784,13829,10984,11203
"36",47,"75a",10108,14151,11428,11619
"37",48,"75b",10304,14541,11915,12036
"38",49,"76",10471,15089,12359,12452
"39",50,"77",10619,15910,12756,12869
"40",51,"78",10757,16867,13112,13285
"41",52,"79",11128,16996,13493,13615
"42",53,"80",11413,17101,13884,13944
"43",54,"81",11631,17255,14287,14273
"44",55,"82",11836,17510,14628,14602
"45",56,"83",12011,17770,14944,14931
"46",57,"84",12547,17852,15424,15334
"47",58,"85",12877,17938,15850,15737
"48",59,"86",13171,18029,16325,16141
"49",60,"87",13464,18183,16789,16544
"50",61,"88",13737,18487,17301,16947
"51",62,"89",14817,18514,17581,17307
"52",63,"90",15891,18554,17855,17666
"53",64,"91",16966,18611,18131,18026
"54",65,"92",17937,18690,18415,18386
"55",66,"93",18277,19271,18726,18746
"56",67,"94",18409,19447,18880,18901
"57",68,"95",18484,19766,19024,19057
"58",69,"96",18531,20172,19162,19212
"59",70,"97",18587,20609,19298,19367
"60",71,"98",18622,21079,19426,19523
"61",72,"99",18730,21212,19585,19678
"62",73,"100",18811,21458,19741,19834
"63",74,"101",18863,21673,19897,19989
"64",75,"102",18912,21883,20064,20145
"65",76,"103",18964,22213,20200,20300
"66",77,"104",19106,22368,20351,20456
"67",78,"105",19234,22579,20513,20611
"68",79,"106",19306,22805,20677,20767
"69",80,"107",19352,23059,20834,20922
"70",81,"108",19409,23388,20980,21078
"71",82,"109",19563,23508,21122,21221
"72",83,"110",19678,23636,21266,21364
"73",84,"111",19799,23753,21418,21507
"74",85,"112",19859,23913,21578,21650
"75",86,"113",19925,24135,21718,21793
"76",87,"114",20114,24275,21870,21957
"77",88,"115",20284,24470,22047,22122
"78",89,"116",20389,24658,22213,22287
"79",90,"117",20518,24850,22405,22451
"80",91,"118",20593,25036,22577,22616
"81",92,"119",20771,25168,22717,22771
"82",93,"120",20919,25302,22882,22926
"83",94,"121",21012,25412,23046,23082
"84",95,"122",21126,25560,23208,23237
"85",96,"123",21222,25730,23376,23392
"86",97,"124",21373,25851,23518,23543
"87",98,"125",21524,25987,23657,23694
"88",99,"126",21627,26107,23818,23846
"89",100,"127",21720,26304,23969,23997
"90",101,"128",21839,26486,24126,24148
"91",102,"129",22018,26605,24268,24296
"92",103,"130",22190,26718,24417,24444
"93",104,"131",22355,26865,24558,24592
"94",105,"132",22506,27027,24722,24740
"95",106,"133",22648,27221,24856,24888
"96",107,"134",22835,27290,25032,25043
"97",108,"135",22972,27376,25197,25199
"98",109,"136",23116,27471,25360,25354
"99",110,"137",23235,27603,25524,25510
"100",111,"138",23382,27809,25701,25665
"101",112,"139",23600,27907,25859,25838
"102",113,"140",23772,27970,26044,26011
"103",114,"141",23973,28066,26230,26184
"104",115,"142",24115,28201,26418,26357
"105",116,"143",24270,28364,26600,26530
"106",117,"144",24521,28426,26767,26688
"107",118,"145",24704,28530,26921,26847
"108",119,"146",24874,28636,27093,27006
"109",120,"147",25019,28753,27260,27165
"110",121,"148",25180,28917,27417,27324
"111",122,"149",25422,28994,27577,27475
"112",123,"150a",25649,29076,27743,27627
"113",124,"150b",25809,29156,27902,27778
"114",125,"151a",25954,29273,28048,27930
"115",126,"151b",26108,29426,28195,28081
"116",127,"152",26509,29471,28340,28244
"117",128,"153",26743,29510,28487,28406
"118",129,"154",26942,29566,28662,28569
"119",130,"155",27119,29652,28822,28731
"120",131,"156",27299,29811,28996,28893
"121",132,"157",27750,29846,29111,29033
"122",133,"158",28162,29879,29224,29173
"123",134,"159",28569,29940,29339,29313
"124",135,"160",28851,30010,29460,29453
"125",136,"161",29026,30157,29600,29593
"126",137,"162",29147,30209,29687,29682
"127",138,"163",29243,30284,29775,29771
"128",139,"164",29308,30387,29867,29859
"129",140,"165",29367,30520,29950,29948
"130",141,"166",29412,30683,30031,30037
"131",142,"167",29544,30737,30114,30118
"132",143,"168",29656,30776,30199,30200
"133",144,"169",29722,30825,30289,30282
"134",145,"170",29788,30890,30383,30364
"135",146,"171",29829,31014,30464,30445
"136",147,"172",29919,31050,30519,30504
"137",148,"173",29977,31101,30581,30563
"138",149,"174",30017,31144,30642,30622
"139",150,"175",30069,31212,30703,30681
"140",151,"176",30118,31300,30758,30740
"141",152,"177",30216,31332,30820,30802
"142",153,"178",30303,31390,30878,30864
"143",154,"179",30371,31443,30940,30926
"144",155,"180",30427,31497,31005,30988
"145",156,"181",30488,31552,31068,31049
"146",157,"182",30637,31592,31117,31109
"147",158,"183",30778,31645,31165,31169
"148",159,"184",30900,31688,31213,31229
"149",160,"185",30988,31749,31263,31288
