age,level
7.210,-0.50
7.670,-4.10
7.780,-5.60
8.580,-18.80
8.790,-14.50
9.330,-22.80
9.600,-25.10
9.880,-27.80
9.980,-30.10
10.180,-36.50
10.290,-34.40
10.310,-34.50
10.640,-42.30
11.090,-43.30
11.350,-51.30
11.560,-57.30
12.000,-52.50
12.770,-60.40
12.780,-61.00
12.940,-61.50
12.950,-63.90
12.980,-63.00
13.140,-64.10
13.600,-67.10
13.840,-70.00
14.300,-83.20
14.350,-98.60
14.520,-94.20
14.640,-100.20
14.990,-99.20
15.150,-102.20
15.180,-103.10
15.510,-105.50
16.020,-112.00
0.090,-0.10
0.090,-0.10
0.119,-0.10
0.184,-0.10
0.591,0.00
0.607,-0.10
0.610,0.00
0.614,0.00
0.644,0.00
0.675,0.00
0.723,0.00
0.749,-0.10
1.059,0.00
1.123,0.10
1.280,-0.10
1.408,-0.30
1.432,0.00
1.467,0.20
1.477,0.10
1.490,0.00
1.496,0.00
1.540,0.10
1.565,0.10
1.571,0.20
1.583,0.00
1.599,0.00
1.599,0.10
1.628,-0.20
1.644,0.00
1.668,0.00
1.717,0.20
1.727,0.00
1.734,0.10
1.740,0.10
1.773,0.00
1.775,-0.10
1.778,-0.10
1.815,0.20
1.832,-0.20
1.836,0.00
1.841,-0.10
1.856,0.00
1.868,0.00
1.880,0.00
1.880,0.10
1.896,0.00
1.898,-0.10
1.919,0.00
1.923,0.00
1.945,0.10
1.951,-0.10
2.004,0.10
2.190,0.00
2.223,0.00
2.351,-0.10
2.486,0.00
2.507,0.00
2.531,-0.10
2.612,-0.10
2.624,0.10
2.734,-0.10
2.749,-0.10
2.749,0.10
2.794,-0.10
2.803,0.10
2.810,-0.10
2.813,-0.10
2.825,0.10
2.837,-0.10
2.936,-0.20
2.985,0.00
3.000,-0.20
3.204,-0.10
3.220,0.00
3.329,0.00
3.550,0.20
3.550,0.00
3.582,-0.10
3.632,0.10
3.685,-0.10
3.704,-0.10
3.797,0.30
3.816,-0.20
3.865,0.10
3.878,-0.10
3.908,-0.20
3.925,0.10
3.932,0.10
4.131,-0.20
4.138,0.20
4.175,-0.20
4.210,-0.10
4.217,-0.10
4.243,-0.10
4.277,0.10
4.303,0.00
4.389,-0.10
4.426,-0.10
4.467,-0.10
4.614,0.00
4.676,0.00
4.682,-0.10
4.703,0.10
4.712,0.00
4.776,0.20
5.137,0.20
5.160,0.00
5.255,0.00
0.639,-0.50
4.232,-0.50
6.636,0.90
7.027,-0.20
7.462,-5.30
7.619,-5.30
