Site,Latitude,Longitude,,,Record,,,References
SO139-74 KL,-6.54,103.83,,,Alkenones,,,"Luckge et al., 2009"
S New Caledonia,-23,167,,,Coral,,,"Corrège et al., 2004"
"Southwest Lagoon, New Caledonia",-22.48,166.45,,,Coral,,,"Corrège et al., 2004"
"Amedee Is, New Caledonia",-22.47,166.47,,,Coral,,,"Corrège et al., 2000"
"Orpheus, GBR",-18.62,146.5,,,Coral,,,"Gagan et al., 1998"
"Papeete, Tahiti",-17.53,-149.57,,,Coral,,,"Bard et al., 2010"
Vanuatu,-16,167,,,Coral,,,"Corrège, 2006"
"Espiritu Santo, Vanuatu",-15.25,166.82,,,Coral,,,"Beck et al., 1992"
Christmas Is,-10.42,105.65,,,Coral,,,"Woodroffe et al., 2003"
"Huon Peninsula, PNG",-6.42,147.5,,,Coral,,,"Tudhope et al., 2001"
"Madang, PNG",-5.22,145.78,,,Coral,,,"Tudhope et al., 2001"
"Laing island, PMG",-4.17,144.87,,,Coral,,,"Tudhope et al., 2001"
"Muschu, PNG",-3.42,143.57,,,Coral,,,"Abram et al., 2009; McGregor and Gagan, 2004, McGregor et al., 2008"
"Mentawai, Indonesia",-1.12,98.73,,,Coral,,,"Abram et al., 2009"
Burdekin Delta,-20,147.5,,,Estuary,,,"Fielding et al., 2006"
"Innamincka, SA",-27.73,140.73,,,Fluvial,,,"Nanson et al., 2008"
"Chookoo, QLD",-27.58,141.88,,,Fluvial,,,"Nanson et al., 2008"
"Fitzroy River, QLD",-23.38,150.5,,,Fluvial,,,"Croke et al., 2010"
"Gilbert River Delta, QLD",-16.55,141.27,,,Fluvial,,,"Nanson et al., 1991"
"Lily Ponds, NT",-14.32,132.47,,,Fluvial,,,"Nott and Price, 1999"
"Waterfall Ck, NT",-13.42,132.42,,,Fluvial,,,"Nott et al., 1996"
"Wangi Gorge, NT",-13.15,130.68,,,Fluvial,,,"Nott et al., 1996"
V33-65,-22.73,112.58,,,Forams,,,"Martinez et al., 1999"
MD97-2125,-22.5,161.5,,,Forams,,,"Tachikawa et al., 2009"
FR10/95-17,-22.13,113.5,,,Forams,,,"Martinez et al., 1999"
MD00-2361,-22.08,113.48,,,Forams,,,"Spooner et al., 2011"
FR10/95-14,-20.05,112.66,,,Forams,,,"Martinez et al., 1999"
FR2/96-27,-18.56,116.27,,,Forams,,,"Martinez et al., 1999"
FR4/92-PC2,-18.1,147.22,,,Forams,,,"Dunbar et al., 2000"
FR4/92-PC3,-18.03,147.33,,,Forams,,,"Dunbar et al., 2000"
FR4/92-PC32,-17.99,148.04,,,Forams,,,"Dunbar et al., 2000"
FR4/92-PC24a,-17.87,146.89,,,Forams,,,"Dunbar et al., 2000"
FR4/92-PC4,-17.86,147.58,,,Forams,,,"Dunbar et al., 2000"
FR4/92-PC25,-17.73,147.1,,,Forams,,,"Dunbar et al., 2000"
FR4/92-PC5,-17.7,147.83,,,Forams,,,"Dunbar et al., 2000"
FR10/95-11,-17.64,115,,,Forams,,,"Martinez et al., 1999"
FR4/92-PC11,-17.57,147.35,,,Forams,,,"Dunbar et al., 2000"
FR4/92-PC23,-17.54,146.76,,,Forams,,,"Dunbar et al., 2000"
FR4/92-PC6,-17.53,148.08,,,Forams,,,"Dunbar et al., 2000"
FR4/92-PC16,-17.43,146.89,,,Forams,,,"Dunbar et al., 2000"
FR4/92-PC31,-17.41,147.62,,,Forams,,,"Dunbar et al., 2000"
FR4/92-PC12,-17.27,147.14,,,Forams,,,"Dunbar et al., 2000"
FR4/92-PC22a,-17.17,146.62,,,Forams,,,"Dunbar et al., 2000"
FR4/92-PC10,-17.11,147.39,,,Forams,,,"Dunbar et al., 2000"
FR4/92-PC13,-16.95,146.92,,,Forams,,,"Dunbar et al., 2000"
FR4/92-PC9,-16.8,147.18,,,Forams,,,"Dunbar et al., 2000"
FR4/92-PC14,-16.72,146.73,,,Forams,,,"Dunbar et al., 2000"
FR4/92-PC42,-16.65,147.43,,,Forams,,,"Dunbar et al., 2000"
FR4/92-PC8,-16.55,146.98,,,Forams,,,"Dunbar et al., 2000"
ODP762A,-16.54,115.54,,,Forams,,,"Martinez et al., 1999"
FR4/92-PC15,-16.44,146.89,,,Forams,,,"Dunbar et al., 2000"
FR4/92-PC39,-16.38,147.22,,,Forams,,,"Dunbar et al., 2000"
FR5/90-PC7,-16.35,146.11,,,Forams,,,"Dunbar et al., 2000"
FR5/90-PC32,-16.33,146.3,,,Forams,,,"Dunbar et al., 2000"
FR5/90-PC9,-16.3,146.19,,,Forams,,,"Dunbar et al., 2000"
FR4/92-PC30,-16.28,146.76,,,Forams,,,"Dunbar et al., 2000"
FR5/90-PC31,-16.26,146.4,,,Forams,,,"Dunbar et al., 2000"
FR4/92-PC40,-16.21,147.48,,,Forams,,,"Dunbar et al., 2000"
FR5/90-PC30,-16.18,146.55,,,Forams,,,"Dunbar et al., 2000"
FR4/92-PC34,-16.16,146.33,,,Forams,,,"Dunbar et al., 2000"
FR4/92-PC7,-16.11,147.02,,,Forams,,,"Dunbar et al., 2000"
FR4/92-PC35,-16.02,146.55,,,Forams,,,"Dunbar et al., 2000"
FR4/92-PC38,-15.93,147.28,,,Forams,,,"Dunbar et al., 2000"
FR4/92-PC36,-15.83,146.82,,,Forams,,,"Dunbar et al., 2000"
FR4/92-PC37,-15.66,147.07,,,Forams,,,"Dunbar et al., 2000"
V28-342,-14.1,120.5,,,Forams,,,"Martinez et al., 1999"
FR10/95-5,-14.01,121.03,,,Forams,,,"Martinez et al., 1999"
MD01-2378,-13.08,121.78,,,Forams,,,"Holbourn et al., 2005; Xu et al., 2010"
FR2/96-17,-12.25,112.74,,,Forams,,,"Martinez et al., 1999"
MD97-2166,-11.58,120.27,,,Forams,,,"Moreno et al., 2008"
MD98-2170,-10.59,125.39,,,Forams,,,"Stott et al., 2004"
MV26-0403-66JPC,-10,145.15,,,Forams,,,"Jorry et al., 2008"
MD97-2134,-9.9,144.65,,,Forams,,,"de Garidel-Thoron et al., 2004"
MV25-0403-33JPC,-9.87,145.73,,,Forams,,,"Jorry et al., 2008"
MD05-2940C2,-9.79,145.73,,,Forams,,,"Jorry et al., 2008"
MD98-2165,-9.65,118.33,,,Forams,,,"Levi et al., 2007"
GeoB10053-7,-8.68,112.87,,,Forams,,,"Mohtadi et al., 2011"
SHI-9016,-8.46,128.24,,,Forams,,,"Spooner et al., 2005"
13GGC,-7.4,115.2,,,Forams,,,"Linsley et al., 2010"
BA9403,-5.82,104.03,,,Forams,,,"Murgese et al., 2008"
MD98-2176,-5,133.43,,,Forams,,,"Stott et al., 2004"
MD98-2162,-4.69,117.9,,,Forams,,,"Visser et al., 2003"
70GGC,-3.57,119.38,,,Forams,,,"Linsley et al., 2010"
MW91-15,0.02,158.94,,,Forams,,,"Patrick and Thunell, 1997"
MD98-2181,6,126,,,Forams,,,"Stott et al., 2007"
Lake Carpentaria GC2,-12.52,140.35,,,Lake,,,"Torgersen et al., 1985, 1988"
Lake Carpentaria MD32,-12.3,139.97,,,Lake,,,"Chivas et al., 2001; Reeves et al., 2008; Devriendt, 2011"
"Lake Gregory, xWA",-20.25,127.5,,,Lake/Dune,,,"Veth et al., 2009; Fitzsimmons et al., 2012; Wyrwoll and Miller, 2001"
"Cabbage Tree Creek, WA",-16.25,128.42,,,Dune,,,"Wende et al., 1998"
Carpentaria dune field,-13.7,136.2,,,Dune,,,"Lees et al., 1990; Lees and Lu, 1991, 1992"
"Cape Range, WA",-22.17,113.83,,,Pollen,,,"van der Kaars and De Deckker, 2002"
"Four Mile Billabong, NT",-13.85,136.78,,,Pollen,,,"Shulmeister and Lees, 1995"
"Lynch's Crater, QLD",-17.37,145.7,,,Pollen,,,"Kershaw, 1981; Turney et al., 2006"
"Lake Euramoo, QLD",-17.17,146.63,,,Pollen,,,"Haberle, 2005"
"Lake Walala, NT",-15.68,137.03,,,Pollen,,,"Prebble et al., 2005"
"Three Quarter Mile Lake, QLD",-12.5,143,,,Pollen,,,"Luly et al., 2006"
ODP820,-16.63,146.3,,,Pollen,,,"Moss and Kershaw, 2007"
BAR94-25,-6.43,95.32,,,Pollen,,,"van der Kaars et al., 2012"
"Rawa Danau, Java",-6.18,105.95,,,Pollen,,,"van der Kaars et al., 2001; Turney et al., 2006"
BAR94-42,-6.07,102.42,,,Pollen,,,"van der Kaars et al., 2010"
"Sirunki, PNG",-6,143.5,,,Pollen,,,"Walker and Flenley, 1979"
SHI-9014,-5.77,126.97,,,Pollen,,,"van der Kaars et al., 2000"
"Lake Hordorli, Irian Jaya",-2.33,140.5,,,Pollen,,,"Hope and Tulip, 1994"
"Danua di Atas, Sumatra",-1.07,100.77,,,Pollen,,,"Newsome and Flenley, 1988"
"South Alligator River, NT",-12.45,132.47,,,Pollen,,,"Woodroffe et al., 1985"
"Badu, Torres Strait",-10.12,142.17,,,Pollen,,,"Rowe, 2007"
"Mua, Torres Strait",-10.18,142.25,,,Pollen,,,"Rowe, 2007"
"Liang Luar, Flores",-8.53,120.43,,,Speleothem,,,"Griffiths et al., 2009, Griffiths et al., 2010a, Griffiths et al., 2010b; Lewis et al., 2011"
"Gunung Buda NP, Borneo",4,114,,,Speleothem,,,"Partin et al., 2007"
"Mt Giluwe, PNG",-6.05,143.88,,,Glacier,,,"Barrows et al., 2011"
Pemerak Swamp,0.7888,112.05,40,mire,"micro, pollen slide",35.54,0.82,"Anshari et al., 2001"
MD97-2140,2.0667,142.2667,-2547,marine,"micro, imaging",364.65,0.32,"Thevenon et al., 2004"
Yano,7.38,134.54,40,terrestrial,"micro, pollen slide",7.54,3.72,"Athens and Ward, 2005"
Nekkeng,7.45,134.52,9,terrestrial,"micro, pollen slide",9.06,0.77,"Athens and Ward, 2005"
Olbed 1,7.5,134.54,20,terrestrial,"micro, pollen slide",7.98,2.63,"Athens and Ward, 2005"
Ngerdok 2,7.52,134.603,25,lacustrine,"micro, pollen slide",3.67,8.45,"Athens and Ward, 2005"
Ngerkell,7.6053,134.6259,10,terrestrial,"micro, pollen slide",3.97,2.02,"Athens and Ward, 2005"
Ngardmau,7.608,134.57,10,terrestrial,"micro, pollen slide",5.3,3.02,"Athens and Ward, 2005"
Ngerchau,7.63,134.52,9,terrestrial,"micro, pollen slide",4.8,2.5,"Athens and Ward, 2005"
Nong Pa Kho,17.01,102.93,180,mire,"micro, pollen slide",37.92,1.87,"Penny and Kealhofer, 2004"
Paoay Lake LP4,18.12,120.54,15,lacustrine,"macro, sieved",6.49,35.58,"Stevenson et al., 2009"
Maluyo Swamp,18.18,121.58,5,terrestrial,"macro, sieved",6.26,95.79,"J. Stevenson, unpublished data"
Paoay Lake LP3,18.2,120.54,15,lacustrine,"macro, sieved",6.7,87.11,"Stevenson et al., 2009"
Anggi Lake,-1.403,133.902,1945,lacustrine,"micro, pollen slide",26.08,0.35,"Hope, 2007a"
Lake Majo,-1.4667,127.4833,140,lacustrine,"micro, pollen slide",5.8,4.14,"Haberle and Ledru, 2001"
Argan Swamp,-10.05,142.06,3,coastal,"macro, sieved",5.52,23.74,"Rowe, 2006a"
Badu 15,-10.06,142.09,20,terrestrial,"macro, sieved",4.19,7.63,"Rowe, 2006a, Rowe, 2006b, Rowe, 2007"
Bar20,-10.1,142.12,18,coastal,"macro, sieved",2.83,25.42,"Rowe, 2006a, Rowe, 2007"
Boigu Gawat Core 1,-10.1,142.14,10,coastal,"macro, sieved",4.57,10.94,"Rowe, 2006a, Rowe, 2007"
