Line,Identifier 1,Identifier 2,Amount,d 13C/12C,Area 44,Ampl  44,d 15N/14N,Area 28,Ampl  28,%N,%C,Identifier 1,Identifier 2,ë13C (?VPDB),ë15? (???R),%C,%N,C:N,TMc,TMn,Desired Ampl,
1,Flush,,,-13.911,371.891,10846,11.435,56.173,2317,,,Flush,0,-10.05,11.19,#DIV/0!,#DIV/0!,#DIV/0!,0,0,5500,C Ampl 44
3,Flush,,,-14.825,574.649,16751,11.55,85.662,3591,,,Flush,0,-10.74,11.26,#DIV/0!,#DIV/0!,#DIV/0!,0,0,2000,Dilution used
4,Flush,,,-15.853,894.709,26016,11.787,135.239,5709,,,Flush,0,-11.09,11.41,#DIV/0!,#DIV/0!,#DIV/0!,0,0,,
5,Taipan,,0.242,-15.311,394.435,11544,11.479,58.901,2460,,,Taipan,0,-11.37,11.21,43.1,15.119,2.9,0.11529799,0.196747967,,
6,LOC,,7.364,-29.901,292.409,8429,6.332,12.405,489,,,LOC,0,-26.09,7.98,1.0,0.106,9.9,4.805077708,30.11860941,,
7,HOC,,1.336,-31.971,295.338,8456,3.506,10.412,405,,,HOC,0,-28.15,6.20,5.8,0.489,11.9,0.86896878,6.597530864,,
8,73,,2.566,-31.559,290.852,8357,0.575,8.716,332,,,73,0,-27.72,4.36,3.0,0.213,13.9,1.68876391,15.45783133,,
9,131,,9.888,-29.274,267.445,7540,2.731,19.68,749,,,131,0,-25.40,5.72,0.7,0.125,5.7,7.212732095,26.40320427,,
10,25,,0.821,-27.532,517.645,15143,0.112,18.031,734,,,25,0,-23.48,4.07,16.9,1.375,12.3,0.298190583,2.237057221,,
11,53,,0.353,-31.196,196.363,5761,-4.252,2.356,85,,,53,0,-27.30,1.33,14.4,0.419,34.5,0.337007464,8.305882353,,
12,66,,0.394,-31.401,656.149,19224,-1.538,7.928,314,,,66,0,-27.14,3.04,45.2,1.262,35.8,0.112723679,2.50955414,,
13,67,,0.344,-31.026,589.157,17288,-2.046,8.135,321,,,67,0,-26.85,2.72,46.2,1.483,31.1,0.109440074,2.143302181,,
14,130,,11.356,-30.574,295.457,8404,2.758,22.654,865,,,130,0,-26.62,5.73,0.7,0.125,5.5,7.431937173,26.2566474,,
15,133,,12.054,-30.085,320.628,9022,2.217,23.996,911,,,133,0,-26.11,5.39,0.7,0.124,5.6,7.34837065,26.46322722,,
16,135,,12.094,-30.035,321.851,9488,2.65,25.473,1045,,,135,0,-26.04,5.67,0.7,0.132,5.3,7.010645025,23.14641148,,
17,136,,11.072,-30.173,260.276,7439,2.654,21.784,843,,,136,0,-26.17,5.67,0.6,0.123,5.0,8.186046512,26.26809015,,
18,142,,13.543,-29.896,328.27,9488,2.867,28.313,1121,,,142,0,-25.86,5.80,0.6,0.131,4.9,7.850600759,24.16235504,,
19,153,,13.379,-30.153,337.553,10010,3.204,30.464,1268,,,153,0,-26.10,6.01,0.7,0.142,4.7,7.351098901,21.10252366,,
20,154,,10.997,-29.848,261.998,7550,2.833,22.526,884,,,154,0,-25.79,5.78,0.6,0.128,4.9,8.011059603,24.8800905,,
21,159,,12.335,-29.537,290.404,8594,2.487,24.775,1030,,,159,0,-25.45,5.56,0.6,0.126,4.9,7.894170351,23.95145631,,
22,179,,16.773,-28.513,233.753,6827,3.605,28.33,1154,,,179,0,-24.41,6.27,0.4,0.106,3.4,13.51274352,29.06932409,,
23,Taipan,,0.23,-15.997,375.162,11076,11.185,55.713,2321,,,Taipan,0,-11.76,11.03,43.1,15.056,2.9,0.114210906,0.198190435,,
24,LOC,,0.782,-30.042,33.981,992,2.883,1.621,57,,,LOC,0,-25.80,5.81,1.1,0.130,8.5,4.335685484,27.43859649,,
25,HOC,,0.494,-31.976,112.809,3307,2.631,4.042,151,,,HOC,0,-27.80,5.65,5.9,0.514,11.5,0.821590565,6.543046358,,
26,HOC,,1.062,-32.092,225.95,6557,3.609,8.091,313,,,HOC,0,-27.94,6.27,5.5,0.478,11.6,0.890803721,6.785942492,,
27,HOC,,2.394,-32.104,535.05,15484,4.147,18.984,767,,,HOC,0,-27.77,6.61,6.0,0.496,12.1,0.850361664,6.242503259,,
28,HOC,,3.93,-32.769,855.625,24727,4.542,30.808,1273,,,HOC,0,-27.82,6.86,6.0,0.490,12.3,0.874145671,6.174391202,,
29,180,,13.89,-29.276,272.369,7863,3.306,29.777,1191,,,180,0,-25.05,6.08,0.5,0.134,3.8,9.715757345,23.32493703,,
30,182,,13.469,-28.564,288.064,8496,3.391,30.279,1248,,,182,0,-24.32,6.13,0.6,0.140,4.0,8.719338512,21.5849359,,
31,184,,13.322,-28.848,249.006,7259,3.24,28.268,1155,,,184,0,-24.59,6.04,0.5,0.133,3.7,10.09381458,23.06839827,,
32,197,,13.924,-29.487,283.718,8314,3.191,30.526,1249,,,197,0,-25.21,6.01,0.5,0.137,3.9,9.211210007,22.29623699,,
33,108,,11.228,-30.331,379.704,11166,2.511,23.165,939,,,108,0,-26.01,5.58,0.9,0.129,6.9,5.530539137,23.91480298,,
34,86,,5.216,-30.709,349.747,10318,1.38,15.185,605,,,86,0,-26.39,4.87,1.8,0.182,9.7,2.780383795,17.24297521,,
35,72,,2.84,-31.786,343.86,10049,1.503,10.951,426,,,72,0,-27.46,4.95,3.2,0.242,13.2,1.554383521,13.33333333,,
36,192,,19.324,-29.003,339.978,9998,3.852,42.325,1766,,,192,0,-24.64,6.42,0.5,0.136,3.4,10.63032607,21.88448471,,
37,176,,11.35,-28.798,197.783,5756,3.249,24.111,971,,,176,0,-24.42,6.04,0.5,0.133,3.4,10.845205,23.37796087,,
38,132,,14.158,-29.564,344.012,10020,2.802,28.939,1164,,,132,0,-25.17,5.76,0.6,0.128,5.0,7.771357285,24.32646048,,
39,91,,6.488,-31.147,309.429,9058,1.767,16.001,636,,,91,0,-26.75,5.11,1.3,0.154,8.1,3.939500994,20.40251572,,
40,81,,4.821,-31.542,396.783,11208,1.216,15.216,550,,,81,0,-27.10,4.77,2.2,0.198,11.0,2.365765525,17.53090909,,
41,106,,8.414,-30.439,330.292,9729,2.408,20.383,829,,,106,0,-26.00,5.51,1.0,0.152,6.8,4.756603968,20.29915561,,
42,178,,13.004,-29.019,228.569,6566,3.34,26.904,1070,,,178,0,-24.56,6.10,0.5,0.129,3.5,10.89278099,24.30654206,,
43,183,,13.518,-29.116,291.493,8465,3.361,31.678,1274,,,183,0,-24.64,6.11,0.6,0.146,3.9,8.783106911,21.22135008,,
44,83,,4.424,-31.291,284.532,8374,1.537,13.215,524,,,83,0,-26.81,4.97,1.7,0.187,9.0,2.905660377,16.88549618,,
45,76,,3.056,-31.421,233.22,6680,1.031,8.09,291,,,76,0,-26.93,4.65,2.0,0.166,12.0,2.516167665,21.00343643,,
46,117,,10.929,-30.781,333.868,9712,2.34,22.76,902,,,117,0,-26.25,5.47,0.8,0.130,6.2,6.189198929,24.23281596,,
47,Taipan,,0.186,-16.536,342.137,10128,11.055,51.167,2121,,,Taipan,0,-11.89,10.95,48.4,17.114,2.8,0.101007109,0.175388967,,
