Line,Identifier 1,Identifier 2,Amount,d 13C/12C,Area 44,Ampl  44,d 15N/14N,Area 28,Ampl  28,%N,%C,Identifier 1,Identifier 2,?13C (‰VPDB),?15? (‰??R),%C,%N,C:N,TMc,TMn,Desired Ampl,
1,Flush,,,-11.64,415.85,11047,11.998,64.488,2340,,,Flush,0,-10.99,12.13,#DIV/0!,#DIV/0!,#DIV/0!,0,0,5500,C Ampl 44
3,Flush,,,-11.653,414.085,10990,11.81,63.826,2328,,,Flush,0,-10.98,11.96,#DIV/0!,#DIV/0!,#DIV/0!,0,0,2000,Dilution used
4,Flush,,,-11.986,390.183,10343,11.629,60.046,2183,,,Flush,0,-11.31,11.80,#DIV/0!,#DIV/0!,#DIV/0!,0,0,,
5,Taipan,,0.238,-12.764,436.331,11645,11.591,64.786,2369,,,Taipan,0,-12.06,11.76,46.4,17.318,2.7,0.112408759,0.200928662,,
6,LOC,,7.178,-26.681,297.822,7971,7.015,13.458,490,,,LOC,0,-26.26,7.62,1.0,0.111,9.3,4.952829005,29.29795918,,
7,HOC,,1.417,-28.265,335.555,8812,4.413,12.271,441,,,HOC,0,-27.83,5.27,5.9,0.514,11.5,0.884418974,6.426303855,,
8,30.5,TOC,1.372,-23.773,908.3,24074,1.243,31.714,1165,,,30.5,TOC,-23.00,2.40,17.6,1.409,12.5,0.313450195,2.355364807,,
9,31,TOC,0.983,-25.92,350.897,9328,0.399,8.347,301,,,31,TOC,-25.41,1.63,9.0,0.501,17.9,0.579599057,6.531561462,,
10,31.5,TOC,0.922,-25.703,352.858,9376,0.727,8.895,321,,,31.5,TOC,-25.17,1.93,9.6,0.570,16.9,0.540848976,5.744548287,,
11,38,TOC,1.001,-26.037,411.382,10884,0.67,9.26,333,,,38,TOC,-25.46,1.88,10.4,0.547,19.0,0.505834252,6.012012012,,
12,52,TOC,0.438,-27.881,338.681,8962,0.05,3.324,119,,,52,TOC,-27.36,1.32,19.4,0.445,43.6,0.268801607,7.361344538,,
13,51,TOC,0.52,-27.404,351.529,9256,0.899,6.251,224,,,51,TOC,-26.85,2.09,17.0,0.708,24.0,0.308988764,4.642857143,,
14,58,TOC,0.357,-27.558,526.657,13945,0.361,5.934,215,,,58,TOC,-26.89,1.60,37.7,0.978,38.6,0.140803155,3.320930233,,
15,56,TOC,0.447,-27.146,761.368,20074,0.268,8.947,322,,,56,TOC,-26.35,1.52,44.6,1.183,37.7,0.122471854,2.776397516,,
16,57,TOC,0.838,-27.434,599.35,15823,1.012,8.599,308,,,57,TOC,-26.69,2.19,18.4,0.606,30.4,0.291284839,5.441558442,,
17,61,TOC,0.347,-26.964,303.928,8052,0.164,4.195,149,,,61,TOC,-26.38,1.42,21.9,0.710,30.8,0.237021858,4.657718121,,
18,60,TOC,0.555,-27.323,617.411,16266,0.798,8.105,290,,,60,TOC,-26.54,2.00,28.7,0.862,33.3,0.18766138,3.827586207,,
19,63,TOC,0.455,-27.108,414.845,10973,-0.24,5.683,203,,,63,TOC,-26.42,1.06,23.0,0.735,31.4,0.228059783,4.482758621,,
20,65,TOC,0.415,-27.005,613.094,16123,-1.898,7.76,278,,,65,TOC,-26.19,-0.44,38.1,1.103,34.5,0.141567946,2.985611511,,
21,67,TOC,0.442,-26.037,803.2,21321,0.311,11.693,424,,,67,TOC,-25.12,1.55,47.8,1.569,30.5,0.114019042,2.08490566,,
22,69,TOC,0.605,-27.561,764.284,20215,3.933,10.764,387,,,69,TOC,-26.67,4.83,33.1,1.054,31.4,0.164605491,3.126614987,,
23,Taipan,,0.22,-12.222,389.428,10393,12.086,59.808,2166,,,Taipan,0,-11.26,12.21,44.6,17.186,2.6,0.116424517,0.203139428,,
24,LOC,,7.091,-27.289,302.346,8102,7.118,12.957,471,,,LOC,0,-26.60,7.71,1.1,0.109,9.8,4.813687978,30.1104034,,
25,HOC,,0.465,-28.466,113.655,3042,4.118,4.112,146,,,HOC,0,-27.94,5.00,6.0,0.519,11.5,0.840729783,6.369863014,,
26,HOC,,0.993,-28.701,235.881,6271,4.241,8.539,305,,,HOC,0,-28.06,5.11,5.9,0.508,11.6,0.87091373,6.51147541,,
27,HOC,,2.402,-28.778,556.057,14693,4.507,20.316,734,,,HOC,0,-27.91,5.35,5.9,0.508,11.7,0.899135643,6.544959128,,
28,HOC,,4.053,-28.952,901.799,23699,3.411,32.812,1196,,,HOC,0,-27.95,4.36,5.9,0.494,12.0,0.940609308,6.777591973,,
29,66,TOC,0.616,-27.304,1116.418,29424,-0.426,13.101,474,,,66,TOC,-26.24,0.89,49.2,1.264,38.9,0.1151441,2.599156118,,
30,59,TOC,0.479,-26.842,552.18,14724,0.922,7.601,272,,,59,TOC,-25.90,2.11,29.6,0.936,31.6,0.178925564,3.522058824,,
31,100,TOC,8.809,-27.79,344.694,9116,1.918,18.275,650,,,100,TOC,-26.98,3.01,1.0,0.124,7.9,5.314776218,27.10461538,,
32,75,TOC,1.005,-28.542,112.54,3015,-4.704,3.781,134,,,75,TOC,-27.91,-2.98,2.7,0.221,12.4,1.833333333,15,,
33,102,TOC,8.172,-27.8,297.424,7924,0.587,16.36,587,,,102,TOC,-26.99,1.80,0.9,0.120,7.6,5.672135285,27.84327087,,
34,77,TOC,1.032,-27.986,98.568,2658,-0.923,3.574,126,,,77,TOC,-27.33,0.44,2.3,0.203,11.5,2.135440181,16.38095238,,
36,109,TOC,7.503,-27.849,363.149,9679,2.687,16.21,575,,,109,TOC,-26.94,3.71,1.2,0.129,9.4,4.263508627,26.0973913,,
37,119,TOC,9.394,-25.588,305.655,8173,1.624,19.142,690,,,119,TOC,-24.67,2.74,0.8,0.122,6.7,6.32166891,27.22898551,,
38,84,TOC,4.137,-28.001,187.904,4970,-0.654,8.269,291,,,84,TOC,-27.20,0.68,1.1,0.118,9.5,4.578169014,28.43298969,,
39,115,TOC,9.269,-27.119,262.076,6974,0.734,17.745,634,,,115,TOC,-26.23,1.94,0.7,0.115,6.1,7.309936909,29.23974763,,
40,88,TOC,4.062,-28.121,212.925,5616,0.233,10.05,353,,,88,TOC,-27.27,1.48,1.3,0.146,8.9,3.978098291,23.01416431,,
41,90,TOC,8.122,-26.594,385.029,10103,0.713,17.676,629,,,90,TOC,-25.58,1.92,1.2,0.130,9.2,4.421557953,25.82511924,,
42,92,TOC,10.462,-28.047,457.559,12182,-0.306,21.94,788,,,92,TOC,-26.99,1.00,1.1,0.126,8.8,4.723444426,26.55329949,,
43,93,TOC,9.963,-27.826,400.166,10665,0.166,20.972,753,,,93,TOC,-26.79,1.42,1.0,0.126,8.0,5.137974684,26.46215139,,
44,96,TOC,8.946,-27.877,354.424,9294,0.175,17.397,620,,,96,TOC,-26.86,1.43,1.0,0.116,8.6,5.294060684,28.85806452,,
45,97,TOC,8.923,-28.135,328.467,8793,-0.026,16.434,589,,,97,TOC,-27.12,1.25,0.9,0.110,8.4,5.581314682,30.29881154,,
46,99,TOC,10.148,-28.418,497.695,13193,0.499,21.083,758,,,99,TOC,-27.29,1.73,1.3,0.125,10.0,4.230576821,26.77572559,,
47,Taipan,,0.205,-12.993,373.922,10083,10.669,56.249,2053,,,Taipan,0,-11.69,10.93,45.9,17.267,2.7,0.111821878,0.199707745,,
48,LOC,,7.04,-27.43,291.923,7863,6.724,12.739,459,,,LOC,0,-26.38,7.36,1.0,0.107,9.6,4.924329136,30.67538126,,
49,HOC,,1.387,-28.896,314.6,8337,5.183,11.436,407,,,HOC,0,-27.84,5.96,5.7,0.489,11.6,0.915017392,6.815724816,,
