Line,Identifier 1,Identifier 2,Amount,d 13C/12C,Area 44,Ampl  44,d 15N/14N,Area 28,Ampl  28,%N,%C,Identifier 1,Identifier 2,?13C (‰VPDB),?15? (‰??R),%C,%N,C:N,TMc,TMn,Desired Ampl,
11,Flush,,,-11.746,287.721,10209,,,,,,Flush,0,-11.28,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0,#DIV/0!,5500,C Ampl 44
12,Blank,,,-29.01,1.459,53,,,,,,Blank,0,-29.53,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0,#DIV/0!,2000,Dilution used
13,Flush,,,-12.359,469.246,16552,,,,,,Flush,0,-11.61,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0,#DIV/0!,,
14,Flush,,,-12.092,366.587,12904,,,,,,Flush,0,-11.48,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0,#DIV/0!,,
15,Taipan,,0.228,-11.979,306.248,10765,,,,,,Taipan,0,-11.45,#DIV/0!,36.1,#DIV/0!,#DIV/0!,0.116488621,#DIV/0!,,
16,LOC,,6.918,-26.901,266.398,9408,,,,,,LOC,0,-26.81,#DIV/0!,1.0,#DIV/0!,#DIV/0!,4.04432398,#DIV/0!,,
17,HOC,,1.21,-27.998,251.548,8837,,,,,,HOC,0,-27.96,#DIV/0!,5.6,#DIV/0!,#DIV/0!,0.753083626,#DIV/0!,,
18,157,,7.148,-25.736,168.382,5970,,,,,,157,0,-25.77,#DIV/0!,0.6,#DIV/0!,#DIV/0!,6.585259631,#DIV/0!,,
19,54,,0.347,-27.138,515.986,18061,,,,,,54,0,-26.65,#DIV/0!,40.9,#DIV/0!,#DIV/0!,0.105669675,#DIV/0!,,
20,155,,10.077,-25.764,250.415,8884,,,,,,155,0,-25.63,#DIV/0!,0.7,#DIV/0!,#DIV/0!,6.238574966,#DIV/0!,,
21,98,,7.03,-27.293,319.063,11130,,,,,,98,0,-27.08,#DIV/0!,1.2,#DIV/0!,#DIV/0!,3.473944295,#DIV/0!,,
22,150,,9.39,-25.977,207.298,7381,,,,,,150,0,-25.91,#DIV/0!,0.6,#DIV/0!,#DIV/0!,6.997019374,#DIV/0!,,
24,104,,6.771,-25.683,923.774,32267,,,,,,104,0,-24.71,#DIV/0!,3.9,#DIV/0!,#DIV/0!,1.154135804,#DIV/0!,,
25,71,,1.086,-27.053,273.052,9583,,,,,,71,0,-26.87,#DIV/0!,6.7,#DIV/0!,#DIV/0!,0.623291245,#DIV/0!,,
26,190,,13.553,-27.438,131.64,4656,,,,,,190,0,-27.51,#DIV/0!,0.3,#DIV/0!,#DIV/0!,16.00977234,#DIV/0!,,
27,74,,2.049,-25.09,234.84,8497,,,,,,74,0,-24.89,#DIV/0!,3.1,#DIV/0!,#DIV/0!,1.326291632,#DIV/0!,,
28,158,,5.938,-27.752,211.254,7552,,,,,,158,0,-27.65,#DIV/0!,0.9,#DIV/0!,#DIV/0!,4.324549788,#DIV/0!,,
29,32,,0.972,-25.757,128.172,4575,,,,,,32,0,-25.76,#DIV/0!,3.5,#DIV/0!,#DIV/0!,1.16852459,#DIV/0!,,
30,89,,5.005,-25.757,351.88,12620,,,,,,89,0,-25.34,#DIV/0!,1.9,#DIV/0!,#DIV/0!,2.181259905,#DIV/0!,,
31,177,,16.144,-123.425,2431.92,49153,,,,,,177,0,-124.76,#DIV/0!,5.0,#DIV/0!,#DIV/0!,1.806441112,#DIV/0!,,
32,Taipan,,0.192,-13.041,322.923,11320,,,,,,Taipan,0,-12.34,#DIV/0!,45.3,#DIV/0!,#DIV/0!,0.093286219,#DIV/0!,,
33,LOC,,6.814,-26.709,277.35,9868,,,,,,LOC,0,-26.42,#DIV/0!,1.1,#DIV/0!,#DIV/0!,3.797831374,#DIV/0!,,
