Line,Identifier 1,Identifier 2,Amount,d 13C/12C,Area 44,Ampl  44,d 15N/14N,Area 28,Ampl  28,%N,%C,Identifier 1,Identifier 2,?13C (‰VPDB),?15? (‰??R),%C,%N,C:N,TMc,TMn,Desired Ampl,
1,Flush,,,-12.847,144.776,4552,,,,,,Flush,0,-12.55,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0,#DIV/0!,5500,C Ampl 44
2,Blank,,,-25.816,7.051,200,,,,,,Blank,0,-25.58,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0,#DIV/0!,2000,Dilution used
3,Flush,,,-12.296,128.713,4409,,,,,,Flush,0,-12.00,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0,#DIV/0!,,
4,Flush,,,-12.06,183.047,6312,,,,,,Flush,0,-11.76,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0,#DIV/0!,,
5,Taipan,,0.21,-11.959,345.719,11973,,,,,,Taipan,0,-11.66,#DIV/0!,46.6,#DIV/0!,#DIV/0!,0.096467051,#DIV/0!,,
6,LOC,,7.02,-26.791,257.369,8964,,,,,,LOC,0,-26.56,#DIV/0!,1.0,#DIV/0!,#DIV/0!,4.307228916,#DIV/0!,,
7,HOC,,1.223,-28.063,258.206,8945,,,,,,HOC,0,-27.84,#DIV/0!,6.0,#DIV/0!,#DIV/0!,0.751984349,#DIV/0!,,
8,161,,6.363,-25.496,123.989,4355,,,,,,161,0,-25.26,#DIV/0!,0.5,#DIV/0!,#DIV/0!,8.035935706,#DIV/0!,,
9,95,,4.254,-26.836,195.248,6805,,,,,,95,0,-26.61,#DIV/0!,1.3,#DIV/0!,#DIV/0!,3.438207201,#DIV/0!,,
10,163,,5.759,-25.777,113.691,4033,,,,,,163,0,-25.54,#DIV/0!,0.6,#DIV/0!,#DIV/0!,7.853830895,#DIV/0!,,
11,37.5,,0.241,-25.604,92.949,3243,,,,,,37.5,0,-25.37,#DIV/0!,10.8,#DIV/0!,#DIV/0!,0.408726488,#DIV/0!,,
12,79,,2.043,-27.665,189.704,6622,,,,,,79,0,-27.44,#DIV/0!,2.6,#DIV/0!,#DIV/0!,1.696843854,#DIV/0!,,
13,196,,7.932,-25.146,144.444,5127,,,,,,196,0,-24.91,#DIV/0!,0.5,#DIV/0!,#DIV/0!,8.509069631,#DIV/0!,,
14,152,,4.658,-25.593,122.551,4347,,,,,,152,0,-25.36,#DIV/0!,0.7,#DIV/0!,#DIV/0!,5.893489763,#DIV/0!,,
15,68,,0.173,-24.98,226.749,8055,,,,,,68,0,-24.74,#DIV/0!,36.9,#DIV/0!,#DIV/0!,0.118125388,#DIV/0!,,
16,87,,2.249,-27.357,135.05,4836,,,,,,87,0,-27.13,#DIV/0!,1.7,#DIV/0!,#DIV/0!,2.557795699,#DIV/0!,,
17,177,,5.584,-25.135,84.765,3048,,,,,,177,0,-24.90,#DIV/0!,0.4,#DIV/0!,#DIV/0!,10.07611549,#DIV/0!,,
18,128,,3.07,-26.326,70.763,2549,,,,,,128,0,-26.09,#DIV/0!,0.6,#DIV/0!,#DIV/0!,6.62416634,#DIV/0!,,
19,26.5,,0.171,-23.159,93.082,3322,,,,,,26.5,0,-22.91,#DIV/0!,15.2,#DIV/0!,#DIV/0!,0.283112583,#DIV/0!,,
20,32,,0.189,-25.453,68.335,2426,,,,,,32,0,-25.22,#DIV/0!,10.1,#DIV/0!,#DIV/0!,0.4284831,#DIV/0!,,
