Line,Identifier 1,Identifier 2,Amount,d 13C/12C,Area 44,Ampl  44,d 15N/14N,Area 28,Ampl  28,%N,%C,Identifier 1,Identifier 2,?13C (‰VPDB),?15? (‰??R),%C,%N,C:N,TMc,TMn,Desired Ampl,
1,Flush,,,-11.585,412.189,13178,,,,,,Flush,0,-11.32,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0,#DIV/0!,5500,C Ampl 44
2,Blank,,,-21.541,3.062,100,,,,,,Blank,0,-21.48,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0,#DIV/0!,2000,Dilution used
3,Flush,,,-11.991,315.034,10097,,,,,,Flush,0,-11.73,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0,#DIV/0!,,
4,Flush,,,-12.083,535.872,17082,,,,,,Flush,0,-11.83,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0,#DIV/0!,,
5,Taipan,,0.276,-11.757,431.577,13766,,,,,,Taipan,0,-11.50,#DIV/0!,43.8,#DIV/0!,#DIV/0!,0.110271684,#DIV/0!,,
6,LOC,,6.954,-26.063,268.678,8580,,,,,,LOC,0,-26.09,#DIV/0!,1.0,#DIV/0!,#DIV/0!,4.457692308,#DIV/0!,,
7,HOC,,1.392,-27.732,311.395,9870,,,,,,HOC,0,-27.79,#DIV/0!,6.0,#DIV/0!,#DIV/0!,0.775683891,#DIV/0!,,
8,179,,9.378,-18.587,228.717,7340,,,,,,179,0,-18.46,#DIV/0!,0.6,#DIV/0!,#DIV/0!,7.027111717,#DIV/0!,,
9,182,,11.432,-20.169,316.012,10098,,,,,,182,0,-20.08,#DIV/0!,0.7,#DIV/0!,#DIV/0!,6.226579521,#DIV/0!,,
10,76,,4.334,-27.939,490.491,15185,,,,,,76,0,-28.00,#DIV/0!,3.2,#DIV/0!,#DIV/0!,1.569772802,#DIV/0!,,
11,60,,0.622,-26.625,689.181,21504,,,,,,60,0,-26.66,#DIV/0!,34.2,#DIV/0!,#DIV/0!,0.159086682,#DIV/0!,,
12,58,,0.564,-26.512,656.793,20586,,,,,,58,0,-26.55,#DIV/0!,35.5,#DIV/0!,#DIV/0!,0.150684932,#DIV/0!,,
13,154,,22.158,-25.38,533.144,16949,,,,,,154,0,-25.39,#DIV/0!,0.7,#DIV/0!,#DIV/0!,7.190335713,#DIV/0!,,
14,106,,11.316,-26.522,402.249,12683,,,,,,106,0,-26.56,#DIV/0!,1.0,#DIV/0!,#DIV/0!,4.907198612,#DIV/0!,,
15,127,,11.204,-26.023,324.326,10073,,,,,,127,0,-26.05,#DIV/0!,0.8,#DIV/0!,#DIV/0!,6.117541944,#DIV/0!,,
16,117,,11.044,-26.194,314.453,9926,,,,,,117,0,-26.22,#DIV/0!,0.8,#DIV/0!,#DIV/0!,6.119484183,#DIV/0!,,
17,142,,13.04,-25.559,329.98,10530,,,,,,142,0,-25.57,#DIV/0!,0.7,#DIV/0!,#DIV/0!,6.811016144,#DIV/0!,,
18,75,,3.222,-27.549,298.109,9308,,,,,,75,0,-27.60,#DIV/0!,2.5,#DIV/0!,#DIV/0!,1.903846154,#DIV/0!,,
