Identifier,Depth,Real depth,Label on bag,Bag name,Bag (g),Wet sediment+bag(g),Dry sediment (g)+bag,total dry sediment,Length of piece (cm),Length validity,Comments,aluminium?,Actual sample weight,Bag+aluminium paper,Aluminium paper,volume of section,density
Water interface,0,,,,,,,,,,,,,,,0,#DIV/0!
Water interface,0.5,,,,,,,,,,,,,,,0,#DIV/0!
Water interface,1,,,,,,,,,,,,,,,0,#DIV/0!
Water interface,1.5,,,,,,,,,,,,,,,0,#DIV/0!
22,2,1,22-22.5,m86,1.559,,,,,,,,,,,0,#DIV/0!
22.5,2.5,1.5,22.5-23,,,,,,,,,,,,,0,#DIV/0!
23,3,2,23-23.5,,,,,,,,,,,,,0,#DIV/0!
23.5,3.5,2.5,23.5-24,,,,,,,,,,,,,0,#DIV/0!
24,0,3,24-24.5,,,,,,,,,,,,,0,#DIV/0!
24.5,0.5,3.5,24.5-25,,,,,,,,,,,,,,
25,1,4,25-25.5,m82,1.554,9.792,3.032,1.478,0.5,1,c,,,,,,
25.5,1.5,4.5,25.5-26,m83,1.569,8.4613,2.8182,0.0081,0.5,1,,y,0.1941,,1.2411,,
26,2,5,26-26.5,m84,1.566,9.09,,-1.566,0.5,1,,y,,,,,
26.5,2.5,5.5,26.5-27,m52,1.55,9.816,3.236,0.211,0.5,1,c,y,0.1292,,1.475,,
27,3,6,27-27.5,m53,1.511,6.6865,2.4857,0.9747,0.5,1,,y,,,,,
27.5,3.5,6.5,27.5-28,m54,1.512,10.5704,3.1133,1.6013,0.5,1,,y,,,,7.065,0.226652512
28,4,7,28-28.5,m55,1.512,9.611,4.9435,3.4315,0.5,1,,y,,,,7.065,0.485704176
28.5,4.5,7.5,28.5-29,m56,1.519,7.3756,3.2058,1.6868,0.5,1,,y,,,,7.065,0.238754423
29,5,8,29-29.5,m57,1.534,8.207,3.4759,0.2309,0.5,1,,y,0.2336,3.245,,7.065,0.032682236
29.5,5.5,8.5,29.5-30,m58,1.504,6.9615,3.6176,0.8007,0.5,1,,y,0.1492,,1.3129,7.065,0.113333333
30,6,9,30-30.5,m59,1.502,4.374,2.7052,1.2032,0.5,1,,y,,,,7.065,0.170304317
30.5,6.5,9.5,30.5-31,m60,1.478,4.0034,2.5303,1.0523,0.5,1,,y,,,,7.065,0.148945506
31,7,10,31.0-31.5,m61,1.453,13.888,4.8411,3.3881,0.5,1,,y,,,,7.065,0.479561217
31.5,7.5,10.5,31.5-32,m63,1.507,9.242,3.7281,1.2784,0.5,1,,y,0.9791,,0.9427,7.065,0.180948337
32,8,11,32-32.5,m62,1.491,9.408,3.866,1.1494,0.5,1,c,radiocarbon,0.4616,,1.2256,7.065,0.162689314
32.5,8.5,11.5,32.5-33,m64,1.513,9.3746,3.9003,1.3146,0.5,1,,y,1.2912,,1.0727,7.065,0.186072187
33,9,12,33-33.5,m65,1.499,18.4186,6.369,4.87,0.5,1,,y,,,,7.065,0.689313517
33.5,9.5,12.5,33.5-34,m66,1.479,10.6851,,-1.479,0.5,1,,y,,,,7.065,-0.209341826
34,10,13,34-34.5,m67,1.487,12.397,4.856,1.9794,0.5,1,c,y,1.7985,,1.3896,7.065,0.280169851
34.5,10.5,13.5,34.5-35,m73,1.512,11.0165,4.4085,2.8965,0.5,1,,y,,,,7.065,0.409978769
35,11,14,35-35.5,m75,1.519,8.8018,,-1.519,0.5,1,,y,,,,7.065,-0.215003539
35.5,11.5,14.5,35.5-36,m74,1.536,11.9453,5.0992,3.5632,0.5,1,,y,,,,7.065,0.504345364
36,12,15,36-36.5,m77,1.52,11.109,4.904,3.384,0.5,1,c,y,,,,7.065,0.478980892
36.5,12.5,15.5,36.5-37,m76,1.525,13.85,5.579,4.054,0.5,1,c,y,,,,7.065,0.573814579
37,13,16,37-37.5,m68,1.525,7.4701,4.4667,0.894,0.5,1,,y,0.8158,,2.0477,7.065,0.126539278
37.5,13.5,16.5,37.5-38.0,m72,1.529,8.373,5.3445,3.8155,0.5,1,c,y,,,,7.065,0.540056617
38,14,17,38-38.5,m21,1.546,12.049,5.006,3.46,0.5,1,c,y,,,,7.065,0.489738146
