"","Identifier","lc.result","med.result","uc.result","CT","dT","CR","dR","HyPy treatment","Sample.weight","Catalyst","% Catalyst","Pre.Sample.Weight","Pre HyPy Insert Weight (g)","Post HyPy Insert Weight (g)","Post.Sample.Weight","av_d13C","av_C","av_Cpost","av_d13Cpost","PreHypy.X.C","C.pre.mg","C.post.mg","Ratio.BCTOC","BlackCarbon.Perc","Corrected","Dry_bulk_density2","Water","Depth","max","min","median","mean","yearbetsamples","sedrate","sedrate.mm","MAR","sed.rate.inv","PyCxMAR"
"1",25,-24.8769660370458,-24.6157655306848,-24.3190034754694,10.76,-24.71,0.28,-24.63,"550-8/min",0.0485,0.0057,11.7525773195876,0.124167,0.782073,0.786289,0.128383,-24.71,10.76,0.28,-24.63,9.62841328413284,11.9553119225092,0.3594724,3.00680067847659,0.323531753004081,0.274147993141256,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",31.5,-24.5135367546867,-24.4109702114907,-24.3021827818154,5.38,-24.795,1.16,-24.42,"550-8/min",0.1055,0.0134,12.7014218009479,0.021432,0.681883,0.669576,0.00912499999999994,-24.795,5.38,1.16,-24.42,4.77367535744323,1.02309410260723,0.105849999999999,10.3460668701201,0.55661839761246,0.524184311384765,0.180948336871904,59.661328716728,5.5,3301,4299,4019,3983,67,0.0149253731343284,0.149253731343284,2.70072144584931,67,0.141567581133459
"3",32,-24.9360544091327,-24.8333947735295,-24.7293429338169,5.13333333333333,-25.2733333333333,1.8,-24.84,"550-8/min",0.2404,0.0131,5.44925124792013,0.109776,0.818097,0.79478,0.0864590000000001,-25.2733333333333,5.13333333333333,1.8,-24.84,4.86806048652202,5.34396207968442,1.556262,29.1218758066469,1.49492295807454,1.445077409877,0.13,58.9073129251701,6,3428,4340,4076,4050,66,0.0151515151515152,0.151515151515152,1.96969696969697,66,0.284636459521228
"4",34,-25.5724038827145,-25.469931701364,-25.3660585293404,0.55,-26.305,0.2,-25.48,"550-8/min",0.2544,0.0318,12.5,0.153693,0.832672,0.817485,0.138506,-26.305,0.55,0.2,-25.48,0.488888888888889,0.751388,0.277012,36.8667053506311,0.202766879428471,0.196591058263207,0.1714,60.8292328789223,8,3884,4629,4339,4316,67,0.0149253731343284,0.149253731343284,2.55820895522388,67,0.0502921005765876
"5",37.5,-24.5549195571339,-24.4342381222532,-24.3027193377057,10.8,-25.37,1.1,-24.48,"550-8/min",0.2351,0.0144,6.12505316886431,0.105353,0.78874,0.765314,0.0819270000000001,-25.37,10.8,1.1,-24.48,10.1766733466934,10.7214306709419,0.901197000000001,8.40556664179623,0.907801197313993,0.846801173837248,0.370205237084218,36.1698316015765,11.5,4446,5254,4712,4735,50,0.02,0.2,7.40410474168436,50,0.626980458647225
"6",38,-25.1704823293611,-25.06573296655,-24.9561018097438,5.75,-25.265,1.1,-25.07,"550-8/min",0.1597,0.0166,10.3944896681277,0.035813,0.702528,0.693328,0.026613,-25.265,5.75,1.1,-25.07,5.2085933068633,1.86535352098695,0.292743,15.6937007760926,0.902387794625324,0.861693916299337,0.164,58.4529836500954,12,4504,5292,4760,4785,51,0.0196078431372549,0.196078431372549,3.2156862745098,51,0.277093729947238
"7",51,-25.0013897784864,-24.8705201068297,-24.7078261019127,17,-26.85,1.7,-24.97,"550-8/min",0.1678,0.0182,10.8462455303933,0.067651,0.764077,0.745697,0.0492710000000001,-26.85,17,1.7,-24.97,15.3365591397849,10.3753356236559,0.837607000000001,8.07305932436774,1.37242008514251,1.27750988739462,0.363057324840764,47.0884915176525,23,5638,7292,6767,6668,129,0.00775193798449612,0.0775193798449612,2.81439786698267,129,0.359542110213269
"8",52,-24.8195118678927,-24.6161128753835,-24.2473320352933,19.4,-27.36,1,-24.86,"550-8/min",0.142,0.016,11.2676056338028,0.070181,0.779694,0.753582,0.0440689999999999,-27.36,19.4,1,-24.86,17.4354430379747,12.236368278481,0.440689999999999,3.60147708838578,0.698686555146841,0.607386818771413,0.349511677282378,49.488380471987,24,5736,7334,6908,6797,130,0.00769230769230769,0.0769230769230769,2.6885513637106,130,0.163299065990773
"9",53,-24.530626661679,-24.1759148857177,-23.0645330334092,23.49,-26.0766666666667,0.47,-24.57,"550-8/min",0.2013,0.0262,13.0153999006458,0.075854,0.74207,0.72106,0.054844,-26.0766666666667,23.49,0.47,-24.57,20.784778021978,15.7660855207912,0.2577668,1.63494482926707,0.384048540394834,0.282558176857681,0.357480537862703,53.2131784547972,25,5857,7435,7034,6927,62,0.0161290322580645,0.161290322580645,5.7658151268178,62,0.162917821033207
"10",54,-24.7213807733689,-24.5744389615299,-24.3585816698669,41.05,-26.58,2.9,-24.71,"550-8/min",0.2468,0.0254,10.291734197731,0.110112,0.793494,0.719847,0.036465,-26.58,41.05,2.9,-24.71,37.2194709772226,40.9831038824394,1.057485,2.58029504801152,1.05921111720873,0.874242271773262,0.1785,62.7992489438273,26,6003,7449,7086,6989,63,0.0158730158730159,0.158730158730159,2.83333333333333,63,0.247701977002424
"11",56,-24.5507703253986,-24.438175829004,-24.3240446707178,24.285,-25.41,3.97,-24.47,"550-8/min",0.1285,0.0256,19.9221789883268,0.029512,0.702103,0.682821,0.01023,-25.41,24.285,3.97,-24.47,20.250632706035,5.97636672420506,0.406130999999998,6.79561711558153,1.65031561651897,1.52081648678331,0.195297633089565,56.9800906761285,28,6159,7480,7192,7115,62,0.0161290322580645,0.161290322580645,3.14996182402524,62,0.479051387471561
"12",57,-25.2932306304201,-25.0967640944944,-24.7179684566896,18.4,-26.69,0.7,-25.28,"550-8/min",0.1666,0.0262,15.7262905162065,0.056912,0.738622,0.861345,0.179635,-26.69,18.4,0.7,-25.28,15.8995850622407,9.0487718506224,1.257445,13.8963057170406,2.55692025193547,2.43318456072105,0.18898796886058,59.9361022364217,29,6274,7503,7247,7177,63,0.0158730158730159,0.158730158730159,2.99980902953302,63,0.729908901577133
"13",59,-24.6505731889509,-24.5471595531759,-24.440243061154,16.9,-25.23,4.2,-24.56,"550-8/min",0.1003,0.0125,12.4626121635095,0.026081,0.695556,0.683007,0.0135320000000001,-25.23,16.9,4.2,-24.56,15.0272163120567,3.91924828634752,0.568344000000004,14.5013522613456,2.45072853216741,2.33507503153667,0.314324133050248,62.4902751007535,31,6807,7563,7384,7347,106,0.00943396226415094,0.0943396226415094,2.965322009908,106,0.69242493858023
"14",60,-24.8408887709374,-24.6928685118117,-24.4770906700228,31.45,-26.6,2.2,-24.82,"550-8/min",0.1184,0.0256,21.6216216216216,0.041012,0.720498,0.702544,0.023058,-26.6,31.45,2.2,-24.82,25.8588888888889,10.6052475111111,0.507276000000001,4.78325469979393,1.50433360308519,1.34903686576979,0.184934536447275,56.0112228197335,32,7255,7608,7456,7453,107,0.00934579439252336,0.0934579439252336,1.72836015371285,107,0.233162156468619
"15",62,-24.5849570741918,-24.4637451218511,-24.3227373254576,23.1,-26.35,2.9,-24.54,"550-8/min",0.2217,0.0268,12.0884077582318,0.100845,0.775625,0.736218,0.061438,-26.35,23.1,2.9,-24.54,20.6087323943662,20.7828761830986,1.781702,8.57293275628975,1.98034746670293,1.84911712421856,0.0882,54.5651027938851,34,7462,8164,7629,7667,106,0.00943396226415094,0.0943396226415094,0.832075471698113,106,0.153860500335922
"16",63,-24.6613784124017,-24.5543305692331,-24.4435514326638,12.69,-25.5,2.38,-24.58,"550-8/min",0.1211,0.0265,21.8827415359207,0.025036,0.694922,0.684624,0.0147379999999999,-25.5,12.69,2.38,-24.58,10.4116463414634,2.60665977804878,0.350764399999998,13.456470343919,1.70762608664332,1.62338322219933,0.1101,56.6576072753881,35,7484,8598,7701,7773,210,0.00476190476190476,0.0476190476190476,0.524285714285714,210,0.085111663221022
"17",64,-24.1696736898554,-23.9448634588579,-23.5048395116186,40.2,-26.45,1.7,-24.21,"550-8/min",0.1229,0.0255,20.7485760781123,0.067816,0.750977,0.707506,0.024345,-26.45,40.2,1.7,-24.21,33.2923180592992,22.5775184150943,0.413864999999999,1.83308454184808,0.73689998582293,0.561650966493069,0.142973971848706,64.6536831160522,36,7615,8711,7935,7983,209,0.00478468899521531,0.0478468899521531,0.684085989706729,209,0.0384217557283152
"18",66,-24.7328011647481,-24.6033294799439,-24.4440225673323,36.7,-26.4833333333333,3.5,-24.7,"550-8/min",0.1013,0.0202,19.9407699901283,0.050814,0.72615,0.690432,0.0150960000000001,-26.4833333333333,36.7,3.5,-24.7,30.5984362139918,15.5482893777778,0.528360000000004,3.39818733213929,1.24713475089512,1.07588112832855,0.111832979476292,60.0813286953114,38,7741,9022,8401,8401,209,0.00478468899521531,0.0478468899521531,0.535086026202352,209,0.0575688957623426
"19",67,-23.1921267776696,-22.9713100555569,-22.5589350048575,38.3333333333333,-25.7633333333333,1.8,-23.25,"550-8/min",0.1213,0.0215,17.724649629019,0.048173,0.735342,0.700949,0.01378,-25.7633333333333,38.3333333333333,1.8,-23.25,32.561858076564,15.6860238912232,0.24804,1.58128026401124,0.606157434537643,0.440938661311415,0.1077,60.0316111824558,39,7793,9318,8624,8610,210,0.00476190476190476,0.0476190476190476,0.512857142857143,210,0.0226138542015426
"20",68,-22.9435267008906,-22.7399090761708,-22.3483148821607,36.9,-24.74,1.5,-22.96,"550-8/min",0.1311,0.0262,19.9847444698703,0.06485,0.757771,0.717922,0.0250009999999999,-24.74,36.9,1.5,-22.96,30.753909726637,19.9439104577241,0.375014999999999,1.88034839403703,0.693848557399666,0.532643683725162,0.212901627742392,59.1554098941494,40,7847,9646,8849,8820,256,0.00390625,0.0390625,0.831646983368719,256,0.0442971512780433
"21",70,-25.0918111207525,-24.9819263768157,-24.8661394681504,15.3333333333333,-26.2733333333333,2.8,-25.02,"550-8/min",0.2533,0.0279,11.0146071851559,0.103016,0.786709,0.747697,0.0640039999999999,-26.2733333333333,15.3333333333333,2.8,-25.02,13.811996206733,14.2285660123281,1.792112,12.5951694531076,1.93125931614316,1.83205815308153,0.505789101203114,58.2361004312795,42,8855,9791,9340,9332,256,0.00390625,0.0390625,1.97573867657466,256,0.361966815077713
"22",71,-24.9724706718371,-24.8091518899313,-24.5512541454356,6.7,-26.87,0.4,-24.97,"550-8/min",0.2857,0.0139,4.86524326216311,0.162733,0.841098,0.825829,0.147464,-26.87,6.7,0.4,-24.97,6.38915220293725,10.3972590544059,0.589856,5.67318749021692,0.380103561844534,0.345850550827974,0.582564498488065,46.0163566811766,43,9347,9913,9583,9588,256,0.00390625,0.0390625,2.27564257221901,256,0.0787032237089531
"23",73,-25.0936489416625,-24.9920749998536,-24.8877394558486,3.3,-26.98,1.9,-25.01,"550-8/min",0.2662,0.0258,9.69196093163035,0.159379,0.857355,0.719956,0.0219800000000001,-26.98,3.3,1.9,-25.01,3.00842465753425,4.79479713493151,0.417620000000002,8.70985754449375,0.287425298968294,0.268589508792445,0.802292993630573,29.4401026010982,45,9756,10533,10098,10100,307,0.00325732899022801,0.0325732899022801,2.61333222680969,307,0.070191361911028
"24",74,-25.2513948276537,-25.1443070392236,-25.0391094398089,1.75,-25.015,0.4,-25.14,"550-8/min",0.2679,0.0165,6.15901455767077,0.179596,0.875302,0.859339,0.163633,-25.015,1.75,0.4,-25.14,1.64847046413502,2.96058701476793,0.654532,22.108183165537,0.386893205396898,0.372307064114606,1.09273885350318,28.0015426688171,46,9887,11033,10400,10407,307,0.00325732899022801,0.0325732899022801,3.55940994626445,307,0.132519346707404
