P:\carob\llr\Data\2017\2017rc0101 M. Bird\Cr\U123_Cr_XRF\XRF data     19/12/2017  re-evaluated data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
peakarea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
filename,position (mm),sample surface,validity,E-gain,E-offset,F-slope,F-offset,kcps,MSE,Mg,Al,Si,P,S,Cl,Ar,K,Ca,Ti,V,Mn,Fe,Co,Ni,Cu,Zn,Ga,As,Br,Rb,Sr,Y,Zr,Pd,Sn,Ba,Ta,Pb,Mo inc,Mo coh,Tube,Location
P:\carob\llr\Data\2017\2017rc0101 M. Bird\Cr\U123_Cr_XRF\XRF data\L000000.spe,56.64,6.48,1,0.018656,-0.005509,0.008741,0.098113,33771.73828,1.17,24,38,73,15,12,10,1141,23,500,475,402,0,1138,12,308,373,40,160,65,60,144,0,0,86,42,0,76,420,79,43062,39135,Cr,1
P:\carob\llr\Data\2017\2017rc0101 M. Bird\Cr\U123_Cr_XRF\XRF data\L000001.spe,57.64,6.52,1,0.018657,-0.005509,0.008734,0.098113,35950.50781,1.54,35,33,81,0,0,0,1256,0,529,406,402,0,1567,424,446,795,0,0,56,149,49,100,0,180,43,0,99,0,0,48752,44120,Cr,1
P:\carob\llr\Data\2017\2017rc0101 M. Bird\Cr\U123_Cr_XRF\XRF data\L000002.spe,58.64,6.5,1,0.018658,-0.005509,0.008729,0.098113,36485.42969,1.23,14,42,117,9,0,13,1539,19,551,538,483,0,1102,228,337,504,27,0,0,43,24,0,0,90,29,14,30,357,112,51731,46196,Cr,1
P:\carob\llr\Data\2017\2017rc0101 M. Bird\Cr\U123_Cr_XRF\XRF data\L000003.spe,59.64,6.49,1,0.018657,-0.005509,0.008729,0.098113,36694.20313,1.39,0,44,116,14,8,31,1606,0,642,534,303,0,1240,313,380,559,28,0,102,64,105,106,0,0,16,14,72,86,0,44614,40739,Cr,1
P:\carob\llr\Data\2017\2017rc0101 M. Bird\Cr\U123_Cr_XRF\XRF data\L000004.spe,60.64,6.47,1,0.018657,-0.005509,0.008729,0.098113,34435.48828,1.49,15,10,100,32,0,26,1909,14,571,649,336,35,1181,237,320,544,0,0,333,98,0,0,0,95,0,0,20,101,0,42470,38322,Cr,1
P:\carob\llr\Data\2017\2017rc0101 M. Bird\Cr\U123_Cr_XRF\XRF data\L000005.spe,61.64,6.52,1,0.018658,-0.005509,0.008729,0.098113,36080.5,1.38,0,0,72,9,0,0,1518,4,657,578,414,0,1476,341,447,435,0,31,19,161,60,0,0,127,9,0,37,399,0,44146,39835,Cr,1
P:\carob\llr\Data\2017\2017rc0101 M. Bird\Cr\U123_Cr_XRF\XRF data\L000006.spe,62.64,6.45,1,0.018657,-0.005509,0.008729,0.098113,35350.94531,1.52,20,10,36,0,0,7,1485,0,541,427,397,0,1322,359,379,547,0,0,114,0,0,0,0,31,6,0,57,333,0,45681,42038,Cr,1
P:\carob\llr\Data\2017\2017rc0101 M. Bird\Cr\U123_Cr_XRF\XRF data\L000007.spe,63.64,6.43,1,0.018657,-0.005509,0.008729,0.098113,34569.47656,1.1,0,0,54,13,20,16,426,36,421,334,194,0,1465,40,354,451,0,178,0,58,0,0,72,15,30,0,6,351,82,34125,33378,Cr,1
P:\carob\llr\Data\2017\2017rc0101 M. Bird\Cr\U123_Cr_XRF\XRF data\L000008.spe,64.64,6.32,1,0.018657,-0.005509,0.008729,0.098113,35352.03906,1.28,0,29,61,21,19,20,844,12,533,339,377,0,1103,185,324,395,70,206,133,0,53,64,0,90,0,0,0,263,0,41868,38714,Cr,1
P:\carob\llr\Data\2017\2017rc0101 M. Bird\Cr\U123_Cr_XRF\XRF data\L000009.spe,65.64,6.45,1,0.018657,-0.005509,0.008729,0.098113,35039.57422,1.18,0,0,74,0,10,0,1326,0,535,454,437,0,1329,254,300,689,125,0,71,0,0,0,0,0,36,0,22,43,18,46636,43005,Cr,1
P:\carob\llr\Data\2017\2017rc0101 M. Bird\Cr\U123_Cr_XRF\XRF data\L000010.spe,66.64,6.45,1,0.018657,-0.005509,0.008729,0.098113,34778.57813,1.2,35,26,16,35,0,4,1355,11,451,400,402,0,1566,148,448,477,109,66,298,0,33,74,0,170,27,0,29,414,0,48608,44556,Cr,1
P:\carob\llr\Data\2017\2017rc0101 M. Bird\Cr\U123_Cr_XRF\XRF data\L000011.spe,67.64,6.47,1,0.018657,-0.005509,0.008729,0.098113,33140.34375,1.27,0,17,82,10,0,0,1817,0,626,515,390,0,1996,269,342,521,54,0,201,145,0,0,0,133,10,0,51,121,0,44814,39945,Cr,1
P:\carob\llr\Data\2017\2017rc0101 M. Bird\Cr\U123_Cr_XRF\XRF data\L000012.spe,68.64,6.51,1,0.018657,-0.005509,0.008729,0.098113,32251.77734,1.26,7,18,49,0,0,17,2206,6,507,532,396,95,1630,224,367,475,107,0,122,0,0,0,0,0,45,0,66,97,0,41956,36982,Cr,1
P:\carob\llr\Data\2017\2017rc0101 M. Bird\Cr\U123_Cr_XRF\XRF data\L000013.spe,69.64,6.56,1,0.018657,-0.005509,0.008729,0.098113,33751.81641,1.23,18,44,89,16,17,0,1936,23,586,564,375,0,1386,29,284,521,24,0,31,63,0,166,29,153,17,8,41,171,23,45002,40663,Cr,1
P:\carob\llr\Data\2017\2017rc0101 M. Bird\Cr\U123_Cr_XRF\XRF data\L000014.spe,70.64,6.47,1,0.018657,-0.005509,0.008729,0.098113,33113.79688,1.11,36,13,7,0,0,0,1911,0,473,528,349,214,1109,0,444,513,72,110,57,154,0,32,0,188,15,0,27,207,34,44907,39143,Cr,1
