Z:\Data\2017\2017rc0101 M. Bird\U124_XRF\XRF data     13/10/2017  re-evaluated data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
peakarea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
filename,position (mm),sample surface,validity,E-gain,E-offset,F-slope,F-offset,kcps,MSE,Mg,Al,Si,P,S,Cl,Ar,K,Ca,Ti,Cr,Mn,Fe,Ni,Cu,Zn,Se,Br,Rb,Sr,Y,Zr,Sn,Cs,Ba,La,Ce,Pr,Nd,Hf,Ta,Pb,Bi,Mo inc,Mo coh,Tube,Location
Z:\Data\2017\2017rc0101 M. Bird\U124_XRF\XRF data\L000000.spe,3.61,6.36,1,0.018664,-0.008152,0.00951,0.092334,43062.83203,2.64,31,15,19,0,8,19,165,16,24,41,257,0,756,866,125,138,0,0,61,151,338,171,6,12,37,5,0,17,64,107,196,33,75,116922,17697,Cr,2
Z:\Data\2017\2017rc0101 M. Bird\U124_XRF\XRF data\L000001.spe,4.61,6.39,1,0.018665,-0.008152,0.009504,0.092334,43474.08594,2.05,17,15,13,0,0,0,146,0,12,0,64,0,281,845,125,37,0,0,71,0,202,418,0,10,0,0,0,9,11,40,76,0,10,118602,17915,Cr,2
Z:\Data\2017\2017rc0101 M. Bird\U124_XRF\XRF data\L000002.spe,5.61,6.46,1,0.018665,-0.008152,0.009507,0.092334,43966.75,3.32,0,18,0,0,16,0,156,0,10,53,86,0,124,851,98,29,0,0,0,161,406,307,24,25,0,0,21,25,40,73,145,0,0,121771,18384,Cr,2
Z:\Data\2017\2017rc0101 M. Bird\U124_XRF\XRF data\L000003.spe,6.61,6.46,1,0.018664,-0.008152,0.009505,0.092334,45081.76172,1.55,0,33,0,44,0,0,136,0,0,42,53,16,173,904,184,17,0,0,66,162,362,187,0,0,0,0,19,0,8,40,188,0,0,123695,18470,Cr,2
Z:\Data\2017\2017rc0101 M. Bird\U124_XRF\XRF data\L000004.spe,7.61,6.46,1,0.018664,-0.008152,0.009506,0.092334,45612.67969,1.33,0,43,58,31,7,48,137,0,20,8,109,12,771,864,191,76,12,0,0,79,304,254,0,0,14,12,0,22,0,101,241,0,39,124119,18361,Cr,2
Z:\Data\2017\2017rc0101 M. Bird\U124_XRF\XRF data\L000005.spe,8.61,6.46,1,0.018664,-0.008152,0.009506,0.092334,45824.64844,1.37,0,31,9,29,0,7,111,0,26,54,106,0,885,766,142,0,0,51,0,168,317,240,0,5,0,0,35,30,9,0,259,0,0,123101,18615,Cr,2
Z:\Data\2017\2017rc0101 M. Bird\U124_XRF\XRF data\L000006.spe,9.61,6.46,1,0.018664,-0.008152,0.009506,0.092334,45656.17188,1.33,10,48,46,38,29,24,97,8,14,56,42,0,526,864,179,89,92,0,0,133,181,356,15,0,0,9,25,28,30,118,191,0,0,121843,18329,Cr,2
Z:\Data\2017\2017rc0101 M. Bird\U124_XRF\XRF data\L000007.spe,10.61,6.53,1,0.018664,-0.008152,0.009506,0.092334,45506.6875,1.22,17,60,54,27,30,20,110,0,0,84,172,8,1758,923,154,12,67,31,0,139,132,571,0,0,0,0,0,0,32,62,245,0,28,120736,19075,Cr,2
Z:\Data\2017\2017rc0101 M. Bird\U124_XRF\XRF data\L000008.spe,11.61,6.53,1,0.018664,-0.008152,0.009506,0.092334,45417.83594,1.32,0,46,15,68,38,0,108,0,47,72,65,32,2164,789,221,0,34,93,0,0,88,592,0,0,17,0,0,16,22,13,74,25,120,118954,18263,Cr,2
Z:\Data\2017\2017rc0101 M. Bird\U124_XRF\XRF data\L000009.spe,12.61,6.57,1,0.018664,-0.008152,0.009506,0.092334,45385.77734,1.31,0,80,52,19,57,20,134,23,72,187,104,11,3226,827,183,0,0,178,124,251,255,799,0,0,0,0,6,14,41,28,49,0,41,120146,18745,Cr,2
Z:\Data\2017\2017rc0101 M. Bird\U124_XRF\XRF data\L000010.spe,13.61,6.58,1,0.018664,-0.008152,0.009506,0.092334,45164.25391,1.45,0,66,46,64,66,19,147,6,107,224,88,0,4396,924,265,0,0,171,106,169,0,612,0,0,0,0,29,32,31,31,145,29,0,119309,18543,Cr,2
Z:\Data\2017\2017rc0101 M. Bird\U124_XRF\XRF data\L000011.spe,14.61,6.64,1,0.018664,-0.008152,0.009506,0.092334,45293.97656,1.42,0,58,70,40,7,40,114,0,45,272,62,0,4536,790,149,0,54,266,0,43,99,669,0,0,0,0,18,16,28,49,273,0,0,119090,18809,Cr,2
Z:\Data\2017\2017rc0101 M. Bird\U124_XRF\XRF data\L000012.spe,15.61,6.64,1,0.018664,-0.008152,0.009506,0.092334,45536.64063,1.28,0,30,53,40,35,0,126,6,67,305,108,0,5846,805,264,0,0,116,0,366,321,408,8,0,6,10,16,12,26,0,193,39,74,117723,18503,Cr,2
Z:\Data\2017\2017rc0101 M. Bird\U124_XRF\XRF data\L000013.spe,16.61,6.63,1,0.018664,-0.008152,0.009506,0.092334,45487.9375,1.27,0,59,46,21,46,41,117,24,94,364,91,11,6308,825,336,41,41,242,0,0,198,520,0,0,0,9,34,19,8,56,244,45,0,116990,18377,Cr,2
Z:\Data\2017\2017rc0101 M. Bird\U124_XRF\XRF data\L000014.spe,17.61,6.65,1,0.018664,-0.008152,0.009506,0.092334,45417.18359,1.36,0,20,27,59,20,0,96,6,44,253,51,0,4656,728,295,0,86,319,5,149,80,661,0,0,0,8,20,24,18,20,165,0,8,117383,18589,Cr,2
Z:\Data\2017\2017rc0101 M. Bird\U124_XRF\XRF data\L000015.spe,18.61,6.65,1,0.018664,-0.008152,0.009506,0.092334,45343.10938,1.43,0,66,65,57,25,57,123,14,78,168,78,0,5367,732,267,0,57,430,52,250,207,596,0,15,46,0,0,17,32,36,64,131,0,117464,18485,Cr,2
Z:\Data\2017\2017rc0101 M. Bird\U124_XRF\XRF data\L000016.spe,19.61,6.65,1,0.018664,-0.008152,0.009506,0.092334,45266.78906,1.24,0,92,63,50,34,0,102,0,43,277,88,0,5628,813,247,45,10,316,74,80,245,791,0,0,0,0,0,0,11,67,159,0,27,116314,18231,Cr,2
Z:\Data\2017\2017rc0101 M. Bird\U124_XRF\XRF data\L000017.spe,20.61,6.69,1,0.018664,-0.008152,0.009506,0.092334,45276.84766,1.4,19,46,48,73,29,40,141,0,45,278,84,16,5503,896,244,22,0,203,125,112,408,621,8,0,0,22,37,0,0,42,112,0,13,118001,18392,Cr,2
Z:\Data\2017\2017rc0101 M. Bird\U124_XRF\XRF data\L000018.spe,21.61,6.76,1,0.018664,-0.008152,0.009506,0.092334,45269.42969,1.32,0,52,60,67,31,31,147,12,47,173,74,23,4975,828,337,0,57,268,54,261,196,474,0,0,27,13,0,18,26,0,113,43,11,118088,18656,Cr,2
Z:\Data\2017\2017rc0101 M. Bird\U124_XRF\XRF data\L000019.spe,22.61,6.69,1,0.018664,-0.008152,0.009506,0.092334,45284.64844,1.29,0,74,92,76,67,46,113,0,19,267,54,22,5109,827,297,0,0,232,59,333,200,531,22,13,0,0,45,35,0,64,204,28,20,117472,18208,Cr,2
Z:\Data\2017\2017rc0101 M. Bird\U124_XRF\XRF data\L000020.spe,23.61,6.72,1,0.018664,-0.008152,0.009506,0.092334,45274.19141,1.47,0,98,86,74,13,35,146,0,66,193,125,0,5670,839,232,0,107,283,176,310,318,909,0,0,26,0,0,16,38,32,133,0,81,118331,18775,Cr,2
Z:\Data\2017\2017rc0101 M. Bird\U124_XRF\XRF data\L000021.spe,24.61,6.69,1,0.018664,-0.008152,0.009506,0.092334,45253.09375,1.24,0,63,97,86,37,16,105,10,71,207,130,8,5953,790,296,11,124,311,71,33,43,816,0,0,56,10,0,34,38,0,76,0,0,115875,17955,Cr,2
Z:\Data\2017\2017rc0101 M. Bird\U124_XRF\XRF data\L000022.spe,25.61,6.72,1,0.018664,-0.008152,0.009506,0.092334,45033.06641,1.47,0,12,11,7,29,34,156,13,44,185,33,0,4035,829,354,0,0,124,182,250,185,822,0,0,37,24,0,0,24,62,0,0,0,118433,18404,Cr,2
Z:\Data\2017\2017rc0101 M. Bird\U124_XRF\XRF data\L000023.spe,26.61,6.83,1,0.018664,-0.008152,0.009506,0.092334,45238.33594,1.34,0,51,12,25,51,0,132,0,28,206,0,5,4165,814,282,39,184,191,163,141,260,939,0,0,0,4,40,4,0,15,180,70,17,118109,18486,Cr,2
Z:\Data\2017\2017rc0101 M. Bird\U124_XRF\XRF data\L000024.spe,27.61,6.68,1,0.018664,-0.008152,0.009506,0.092334,45390.70313,1.14,0,94,53,39,62,60,138,20,52,249,50,0,5433,755,142,13,141,330,0,167,199,672,12,0,28,8,0,0,19,70,238,59,85,116599,18532,Cr,2
Z:\Data\2017\2017rc0101 M. Bird\U124_XRF\XRF data\L000025.spe,28.61,6.71,1,0.018664,-0.008152,0.009506,0.092334,45483.05859,1.14,0,45,52,52,41,35,129,14,47,236,85,0,5910,727,256,16,81,266,120,207,90,792,15,9,25,0,20,39,15,65,168,47,35,115689,18444,Cr,2
Z:\Data\2017\2017rc0101 M. Bird\U124_XRF\XRF data\L000026.spe,29.61,6.67,1,0.018664,-0.008152,0.009506,0.092334,45408.78516,1.15,0,91,65,83,40,45,125,20,47,285,88,63,5965,745,334,0,156,245,106,67,363,1070,11,0,0,0,31,19,19,0,192,55,85,114587,18680,Cr,2
Z:\Data\2017\2017rc0101 M. Bird\U124_XRF\XRF data\L000027.spe,30.61,6.68,1,0.018664,-0.008152,0.009506,0.092334,45390.38281,1.07,0,73,31,21,51,35,125,0,57,331,58,0,7054,734,268,30,57,241,28,121,290,1240,0,0,9,0,0,14,21,56,129,51,68,112835,19056,Cr,2
Z:\Data\2017\2017rc0101 M. Bird\U124_XRF\XRF data\L000028.spe,31.61,6.68,1,0.018664,-0.008152,0.009506,0.092334,45666.75781,1.1,0,72,22,67,29,0,125,34,44,311,38,10,7185,776,284,0,130,337,36,56,0,1545,11,0,0,0,21,25,20,103,129,0,20,112673,18951,Cr,2
