Z:\Data\2017\2017rc0101 M. Bird\U123_XRF\XRF data     13/10/2017  re-evaluated data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
peakarea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
filename,position (mm),sample surface,validity,E-gain,E-offset,F-slope,F-offset,kcps,MSE,Mg,Al,Si,P,S,Cl,Ar,K,Ca,Ti,Cr,Mn,Fe,Ni,Cu,Zn,Se,Br,Rb,Sr,Y,Zr,Sn,Cs,Ba,La,Ce,Pr,Nd,Hf,Ta,Pb,Bi,Mo inc,Mo coh,Tube,Location
Z:\Data\2017\2017rc0101 M. Bird\U123_XRF\XRF data\L000000.spe,64.85,5.34,1,0.018672,-0.004017,0.009226,0.089663,45502.51953,1.16,10,17,0,0,0,8,225,0,70,38,96,41,38,624,240,0,225,22,0,0,0,400,0,14,9,9,35,77,63,13,441,62,321,67736,12323,Mo,1
Z:\Data\2017\2017rc0101 M. Bird\U123_XRF\XRF data\L000001.spe,65.85,5.35,1,0.018672,-0.004017,0.009221,0.089663,45489.85547,1.19,0,0,0,0,0,0,254,0,59,14,98,25,0,594,329,0,326,53,0,229,0,356,13,9,49,21,22,51,84,9,310,121,225,68436,12257,Mo,1
Z:\Data\2017\2017rc0101 M. Bird\U123_XRF\XRF data\L000002.spe,66.85,5.35,1,0.018673,-0.004017,0.009223,0.089663,45184.9375,1.09,27,46,12,10,30,0,198,9,62,0,129,0,24,674,266,20,89,101,95,0,0,0,0,11,46,32,20,42,58,71,418,143,156,68386,12233,Mo,1
Z:\Data\2017\2017rc0101 M. Bird\U123_XRF\XRF data\L000003.spe,67.85,5.4,1,0.018673,-0.004017,0.009223,0.089663,43667.05469,1.04,17,0,22,25,18,15,285,0,59,53,78,9,46,643,317,0,208,117,0,0,0,344,0,14,6,7,48,63,49,84,203,21,54,67067,11970,Mo,1
Z:\Data\2017\2017rc0101 M. Bird\U123_XRF\XRF data\L000004.spe,68.85,5.43,1,0.018673,-0.004017,0.009223,0.089663,43523.32813,1.08,6,24,0,6,0,5,261,0,69,0,85,15,9,637,304,0,186,0,0,0,0,662,0,20,52,0,22,79,73,35,284,0,61,67270,12141,Mo,1
Z:\Data\2017\2017rc0101 M. Bird\U123_XRF\XRF data\L000005.spe,69.85,5.43,1,0.018673,-0.004017,0.009223,0.089663,43348.78516,1.03,0,0,0,0,0,0,290,8,62,54,105,20,0,683,320,0,31,0,0,0,100,446,0,19,0,37,52,41,55,32,148,0,91,68828,12366,Mo,1
Z:\Data\2017\2017rc0101 M. Bird\U123_XRF\XRF data\L000006.spe,70.85,5.43,1,0.018673,-0.004017,0.009223,0.089663,43586.57422,1.04,0,0,18,0,16,0,281,0,68,17,78,0,54,596,301,0,34,0,66,52,0,380,0,19,43,12,22,46,46,72,109,6,140,69796,11987,Mo,1
Z:\Data\2017\2017rc0101 M. Bird\U123_XRF\XRF data\L000007.spe,71.85,5.44,1,0.018673,-0.004017,0.009223,0.089663,44087.97656,1.01,0,17,20,9,0,0,263,11,58,45,107,30,90,701,245,22,0,45,102,0,0,446,0,0,5,0,18,51,48,21,222,0,106,69819,11966,Mo,1
Z:\Data\2017\2017rc0101 M. Bird\U123_XRF\XRF data\L000008.spe,72.85,5.44,1,0.018673,-0.004017,0.009223,0.089663,44983.69922,1.05,24,27,8,45,6,0,218,0,71,38,86,0,69,631,158,0,44,0,56,0,0,229,0,19,0,25,54,63,17,32,464,0,69,72002,11850,Mo,1
Z:\Data\2017\2017rc0101 M. Bird\U123_XRF\XRF data\L000009.spe,73.85,5.44,1,0.018673,-0.004017,0.009223,0.089663,45587.80469,1.07,36,18,8,16,8,0,209,0,33,0,87,0,6,650,231,0,151,0,0,27,0,561,0,20,16,11,33,64,47,52,385,45,116,72640,12268,Mo,1
