Identifier,Tube,Tube_sample,Sediment_g,Volume_mL,Volume_taken_mL,Fraction_ sampled,Mass_sampled_g,x,y,Total_area_coverslip_cm,Total_area_coverslip_mm,length_transect_mm,Number_of_transects,Total_length_transects_mm,diameter_field_view_mm,radius_field_view_mm,Total_area_viewed_mm,Total_area_viewed_mm,Fraction_coverslip_viewed,Total_sediment_analysed_g
132,13.0316,14.0443,1.0127,4,0.1,0.025,0.024686482,1.2,1.2,1.44,144,140,9,1260,0.2,0.1,0.0157,252,1.75,0.043201343
61,12.8389,13.0031,0.1642,4,0.1,0.025,0.15225335,1.6,1.2,1.92,192,20,4,80,0.2,0.1,0.0157,16,0.083333333,0.012687779
51,12.891,13.0771,0.1861,4,0.1,0.025,0.134336378,1.4,1.1,1.54,154,20,8,160,0.2,0.1,0.0157,32,0.207792208,0.027914053
68,12.9371,13.1532,0.2161,4,0.1,0.025,0.115687182,1.2,1.2,1.44,144,20,3.5,70,0.2,0.1,0.0157,14,0.097222222,0.011247365
58,12.837,13.0141,0.1771,4,0.1,0.025,0.141163185,1.6,1.7,2.72,272,20,4,80,0.2,0.1,0.0157,16,0.058823529,0.008303717
159,12.9345,14.1486,1.2141,4,0.1,0.025,0.020591385,1.8,1.1,1.98,198,20,10,200,0.2,0.1,0.0157,40,0.202020202,0.004159876
53,12.8939,13.0728,0.1789,4,0.1,0.025,0.139742873,1.7,1.7,2.89,289,20,1,20,0.2,0.1,0.0157,4,0.01384083,0.001934157
64,12.9032,13.0382,0.135,4,0.1,0.025,0.185185185,1.6,1.6,2.56,256,20,1,20,0.2,0.1,0.0157,4,0.015625,0.002893519
75,,,1.0473,4,0.1,0.025,0.023870906,1.3,1.3,1.69,169,20,6,120,0.2,0.1,0.0157,24,0.142011834,0.003389951
34.5,12.9867,13.1282,0.1415,4,0.1,0.025,0.176678445,1.3,1.4,1.82,182,20,2,40,0.2,0.1,0.0157,8,0.043956044,0.007766086
147,,,1.0078,4,0.1,0.025,0.024806509,1.4,1.5,2.1,210,20,6,120,0.2,0.1,0.0157,24,0.114285714,0.00283503
100,,,0.9531,4,0.1,0.025,0.026230196,1.3,1.4,1.82,182,20,6,120,0.2,0.1,0.0157,24,0.131868132,0.003458927
97,,,1.0129,4,0.1,0.025,0.024681607,1.2,1.5,1.8,180,20,4,80,0.2,0.1,0.0157,16,0.088888889,0.002193921
114,,,0.9842,4,0.1,0.025,0.025401341,1.3,1.4,1.82,182,20,5,100,0.2,0.1,0.0157,20,0.10989011,0.002791356
37.5,12.8855,13.0151,0.1296,4,0.1,0.025,0.192901235,1.6,1.2,1.92,192,20,2,40,0.2,0.1,0.0157,8,0.041666667,0.008037551
83,12.8892,14.3447,1.4555,4,0.1,0.025,0.017176228,1.1,1.1,1.21,121,20,8,160,0.2,0.1,0.0157,32,0.26446281,0.004542474
110,12.8992,14.1099,1.2107,4,0.1,0.025,0.020649211,1.4,1.4,1.96,196,20,5,100,0.2,0.1,0.0157,20,0.102040816,0.002107062
28,13.0881,13.187,0.0989,4,0.1,0.025,0.252780586,1.1,1.7,1.87,187,20,3,60,0.2,0.1,0.0157,12,0.064171123,0.016221214
102,12.9295,13.9886,1.0591,4,0.1,0.025,0.023604948,1.6,1.8,2.88,288,20,6,120,0.2,0.1,0.0157,24,0.083333333,0.001967079
32,,,0.2,4,0.1,0.025,0.125,1.6,1.8,2.88,288,20,4,80,0.2,0.1,0.0157,16,0.055555556,0.006944444
93,,,1.2,4,0.1,0.025,0.020833333,1.6,1.8,2.88,288,20,8,160,0.2,0.1,0.0157,32,0.111111111,0.002314815
71,,,1.2,4,0.1,0.025,0.020833333,1.7,1.2,2.04,204,20,24,480,0.2,0.1,0.0157,96,0.470588235,0.009803922
57,,,0.34,4,0.1,0.025,0.073529412,1.5,1.3,1.95,195,20,4,80,0.2,0.1,0.0157,16,0.082051282,0.006033183
118,,,2.12,4,4,1,0.471698113,1.5,1.3,1.95,195,20,7,140,0.2,0.1,0.0157,28,0.143589744,0.067731011
132,,,1.2,4,0.1,0.025,0.020833333,1.5,1.3,1.95,195,20,9,180,0.2,0.1,0.0157,36,0.184615385,0.003846154
179,,,1.2,4,0.1,0.025,0.020833333,1.6,1.6,2.56,256,20,6,120,0.2,0.1,0.0157,24,0.09375,0.001953125
0,,,4,4,0.05,0.0125,0.003125,1.3,1.5,1.95,195,20,1,20,0.2,0.1,0.0157,4,0.020512821,6.41026E-05
66,,,0.1734,4,0.1,0.025,0.144175317,1.7,1.6,2.72,272,20,4,80,0.2,0.1,0.0157,16,0.058823529,0.008480901
63,,,0.1846,4,0.1,0.025,0.135427952,1.7,1.7,2.89,289,20,5,100,0.2,0.1,0.0157,20,0.069204152,0.009372177
60,,,0.1652,4,0.1,0.025,0.151331719,1.6,1.5,2.4,240,20,3,60,0.2,0.1,0.0157,12,0.05,0.007566586
0.1,,,2.344,4,0.1,0.025,0.010665529,1.7,1.7,2.89,289,20,1,20,0.2,0.1,0.0157,4,0.01384083,0.00014762
