Identifier,Type,Genus,Species,Counts,Morphotype,Morphotype_b
0,Diatom,Pinnularia,stomatophora,224,,
0,Diatom,Brachysira ,brebissonii,137,,
0,Diatom,Eunotia,musicola,4,,
0,Diatom,Eunotia,naegelii,1,,
0,Diatom,Pinnularia,viridiformis,10,,
0,Diatom,Eunotia,arcus,15,,
0.1,Diatom,Pinnularia,stomatophora,22,,
0.1,Diatom,Brachysira ,brebissonii,300,,
0.1,Diatom,Eunotia,arcus,5,,
0.1,Diatom,Eunotia,musicola,5,,
0.1,Diatom,Caloneis,,6,,
0.1,Diatom,Surirella,spiralis,1,,
0.1,Diatom,Pinnularia,viridiformis,8,,
0.1,Spicules,Porifera,,18,,
26.5,Diatom,Pinnularia,stomatophora,122,,
26.5,Diatom,Pinnularia,viridiformis,55,,
26.5,Diatom,Frustulia ,rhomboides,49,,
26.5,Diatom,Brachysira ,brebissonii,19,,
26.5,Diatom,Eunotia,arcus,18,,
26.5,Diatom,Caloneis,,28,,
26.5,Diatom,Eunotia,musicola,19,,
26.5,Diatom,Surirella,spiralis,1,,
26.5,Diatom,Eunotia,pirla,1,,
26.5,Spicules,Porifera,,14,,
26.5,Phytoliths,,,26,Globular,granulate
28,Diatom,Pinnularia,stomatophora,99,,
28,Diatom,Frustulia ,rhomboides,246,,
28,Diatom,Eunotia,arcus,59,,
28,Diatom,Eunotia,musicola,13,,
28,Diatom,Eunotia,naegelii,1,,
28,Diatom,Caloneis,999,38,,
28,Diatom,Pinnularia,viridiformis,138,,
28,Spicule,Porifera,,57,,
28,Diatom,Brachysira ,brebissonii,30,,
28,Phytoliths,,,11,Globular,granulate
28,Phytoliths,,,3,Elongate,
28,Phytoliths,Monocot,,1,cylindroid,
29.5,Diatom,Caloneis,,24,,
29.5,Diatom,Frustulia ,rhomboides,17,,
29.5,Diatom,Pinnularia,stomatophora,121,,
29.5,Diatom,Eunotia,arcus,23,,
29.5,Diatom,Eunotia,pirla,1,,
29.5,Diatom,Surirella,spiralis,1,,
29.5,Diatom,Pinnularia,viridiformis,61,,
29.5,Diatom,Eunotia,musicola,8,,
29.5,Diatom,Brachysira ,brebissonii,21,,
29.5,Diatom,Encyonema,neomuelleri,1,,
29.5,Spicules,Porifera,,17,,
29.5,Phytoliths,,,20,Globular,granulate
32,Diatom,Caloneis,,22,,
32,Diatom,Eunotia,arcus,28,,
32,Diatom,Frustulia ,rhomboides,47,,
32,Diatom,Brachysira ,brebissonii,65,,
32,Diatom,Pinnularia,stomatophora,114,,
32,Diatom,Aulacoisera,,1,,
32,Diatom,Pinnularia,viridiformis,87,,
32,Spicule,Porifera,,25,,
32,Phytoliths,,,25,Globular,granulate
32,Phytoliths,Monocot,,4,Elongate,psilate
32,Diatom,999,999,1,,
32,Diatom,Eunotia,flexuosa,1,,
32,Diatom,Eunotia,musicola,16,,
32,Diatom,Eunotia,pirla,1,,
34.5,Diatom,Brachysira ,brebissonii,299,,
34.5,Diatom,Eunotia,arcus,37,,
34.5,Diatom,Pinnularia,stomatophora,35,,
34.5,Diatom,Pinnularia,viridiformis,55,,
34.5,Diatom,Caloneis,,40,,
34.5,Diatom,Stenop-terobia,intermedia,1,,
34.5,Diatom,Eunotia,musicola,15,,
34.5,Diatom,Surirella,spiralis,2,,
34.5,Diatom,Eunotia,diodon,18,,
34.5,Diatom,Eunotia,pirla,1,,
34.5,Spicule,Porifera,,2,,
34.5,Diatom,Frustulia ,rhomboides,47,,
34.5,Phytoliths,,,15,Globular,granulate
34.5,Spicule,Heterorotula,multidentata,1,,
37.5,Diatom,Frustulia ,rhomboides,2,,
37.5,Diatom,Pinnularia,viridiformis,136,,
37.5,Diatom,Pinnularia,stomatophora,168,,
37.5,Diatom,Eunotia,arcus,62,,
37.5,Diatom,Caloneis,,52,,
37.5,Diatom,Surirella,spiralis,7,,
37.5,Diatom,Eunotia,musicola,27,,
