Sample Name,Result 0.01µm-7.00µm,Result 7.00µm-63.00µm,Result 63.00µm-1000.00µm,Measurement date and time
100 - Average,38.156,42.726,19.118,"Friday, 4 October 2019 9:57:51 AM"
92 - Average,40.886,45.865,13.249,"Friday, 4 October 2019 10:05:47 AM"
120 - Average,40.461,39.431,20.107,"Friday, 4 October 2019 10:12:26 AM"
104 - Average,40.238,41.395,18.368,"Friday, 4 October 2019 10:18:02 AM"
94 - Average,34.468,32.779,18.596,"Friday, 4 October 2019 10:43:12 AM"
108 - Average,43.648,45.494,10.858,"Friday, 4 October 2019 10:55:27 AM"
82 - Average,54.058,44.736,1.206,"Friday, 4 October 2019 11:01:59 AM"
70 - Average,27.872,57.081,15.047,"Friday, 4 October 2019 11:09:56 AM"
102 - Average,40.262,46.294,13.188,"Friday, 4 October 2019 11:16:20 AM"
75 - Average,40.437,47.226,12.337,"Friday, 4 October 2019 11:27:20 AM"
176 - Average,47.726,45.669,6.446,"Friday, 4 October 2019 11:33:25 AM"
166 - Average,46.107,44.864,8.954,"Friday, 4 October 2019 11:21:29 AM"
187 - Average,51.132,46.42,2.447,"Friday, 4 October 2019 11:40:44 AM"
126 - Average,44.11,40.321,14.035,"Friday, 4 October 2019 11:46:26 AM"
38 - Average,12.015,69.141,18.844,"Friday, 4 October 2019 11:55:34 AM"
27 - Average,7.649,63.544,28.807,"Friday, 4 October 2019 12:01:22 PM"
117 - Average,47.303,43.218,9.479,"Friday, 4 October 2019 12:07:23 PM"
58 - Average,14.57,64.248,21.182,"Friday, 4 October 2019 12:13:37 PM"
87 - Average,37.401,38.319,24.28,"Friday, 4 October 2019 12:18:44 PM"
85 - Average,39.309,40.521,20.171,"Friday, 4 October 2019 12:23:58 PM"
72 - Average,40.761,51.157,8.082,"Friday, 4 October 2019 1:44:36 PM"
51 - Average,15.003,62.511,22.487,"Friday, 4 October 2019 1:49:55 PM"
95 - Average,48.399,47.979,3.622,"Friday, 4 October 2019 1:54:50 PM"
90 - Average,37.785,39.999,18.907,"Friday, 4 October 2019 2:00:04 PM"
79 - Average,45.971,40.968,13.061,"Friday, 4 October 2019 2:06:51 PM"
112 - Average,40.622,39.402,17.211,"Friday, 4 October 2019 2:13:23 PM"
197 - Average,45.071,41.762,10.522,"Friday, 4 October 2019 2:19:51 PM"
53 - Average,12.51,63.926,23.563,"Friday, 4 October 2019 2:25:28 PM"
96 - Average,42.31,40.637,12.738,"Friday, 4 October 2019 2:31:59 PM"
110 - Average,44.079,43.852,12.069,"Friday, 4 October 2019 2:37:13 PM"
114 - Average,54.736,44.712,0.552,"Friday, 4 October 2019 2:45:28 PM"
106 - Average,58.31,39.879,1.811,"Friday, 4 October 2019 2:50:59 PM"
31 - Average,9.206,69.205,21.589,"Friday, 4 October 2019 2:58:32 PM"
66 - Average,14.894,69.997,15.109,"Friday, 4 October 2019 3:03:45 PM"
36 - Average,11.986,69.18,18.834,"Friday, 4 October 2019 3:11:05 PM"
33 - Average,6.153,63.339,30.508,"Friday, 4 October 2019 3:18:13 PM"
64 - Average,14.631,66.852,18.517,"Friday, 4 October 2019 3:28:52 PM"
56 - Average,13.352,63.002,23.646,"Friday, 4 October 2019 3:34:56 PM"
60 - Average,23.51,57.613,18.878,"Friday, 4 October 2019 3:40:16 PM"
0 - Average,20.961,64.884,14.155,"Friday, 4 October 2019 3:46:49 PM"
132 - Average,46.327,53.345,0.328,"Friday, 4 October 2019 3:55:02 PM"
161 - Average,70.156,28.011,1.833,"Friday, 4 October 2019 4:00:11 PM"
