Sample Name,Result 0.01µm-7.00µm,Result 7.00µm-63.00µm,Result 63.00µm-1000.00µm,Measurement date and time
Rabecca Trial,37.838,42.433,19.729,"Friday, 4 October 2019 9:57:51 AM"
Rabecca Trial,38.238,42.86,18.902,"Friday, 4 October 2019 9:58:32 AM"
Rabecca Trial,38.392,42.884,18.724,"Friday, 4 October 2019 9:59:12 AM"
Rabecca Trial - Average,38.156,42.726,19.118,"Friday, 4 October 2019 9:57:51 AM"
100,37.838,42.433,19.729,"Friday, 4 October 2019 9:57:51 AM"
100,38.238,42.86,18.902,"Friday, 4 October 2019 9:58:32 AM"
100,38.392,42.884,18.724,"Friday, 4 October 2019 9:59:12 AM"
100,38.156,42.726,19.118,"Friday, 4 October 2019 9:57:51 AM"
100 - Average,38.156,42.726,19.118,"Friday, 4 October 2019 9:57:51 AM"
92,40.905,46.819,12.276,"Friday, 4 October 2019 10:05:47 AM"
92,40.013,45.052,14.935,"Friday, 4 October 2019 10:06:28 AM"
92,41.741,45.723,12.536,"Friday, 4 October 2019 10:07:08 AM"
92 - Average,40.886,45.865,13.249,"Friday, 4 October 2019 10:05:47 AM"
120,39.458,39.09,21.451,"Friday, 4 October 2019 10:12:26 AM"
120,40.464,39.275,20.261,"Friday, 4 October 2019 10:13:07 AM"
120,41.461,39.928,18.61,"Friday, 4 October 2019 10:13:47 AM"
120 - Average,40.461,39.431,20.107,"Friday, 4 October 2019 10:12:26 AM"
104,40.315,42.41,17.275,"Friday, 4 October 2019 10:18:02 AM"
104,40.073,42.615,17.311,"Friday, 4 October 2019 10:18:43 AM"
104,40.324,39.159,20.517,"Friday, 4 October 2019 10:19:24 AM"
104 - Average,40.238,41.395,18.368,"Friday, 4 October 2019 10:18:02 AM"
132,24.737,26.867,22.918,"Friday, 4 October 2019 10:30:53 AM"
132,40.254,45.591,12.814,"Friday, 4 October 2019 10:31:33 AM"
132,42.864,46.993,10.143,"Friday, 4 October 2019 10:32:14 AM"
132 - Average,35.952,39.817,15.292,"Friday, 4 October 2019 10:30:53 AM"
161,38.448,23.473,17.101,"Friday, 4 October 2019 10:38:23 AM"
161,61.792,38.063,0.145,"Friday, 4 October 2019 10:39:03 AM"
161,62.293,37.568,0.139,"Friday, 4 October 2019 10:39:44 AM"
161 - Average,54.178,33.042,5.788,"Friday, 4 October 2019 10:38:23 AM"
94,10.153,9.94,37.439,"Friday, 4 October 2019 10:43:12 AM"
94,45.251,44.407,10.341,"Friday, 4 October 2019 10:43:53 AM"
94,48.001,43.991,8.008,"Friday, 4 October 2019 10:44:34 AM"
94 - Average,34.468,32.779,18.596,"Friday, 4 October 2019 10:43:12 AM"
108,43.218,44.465,12.318,"Friday, 4 October 2019 10:55:27 AM"
108,43.009,45.604,11.387,"Friday, 4 October 2019 10:56:08 AM"
108,44.719,46.412,8.87,"Friday, 4 October 2019 10:56:49 AM"
108 - Average,43.648,45.494,10.858,"Friday, 4 October 2019 10:55:27 AM"
82,53.985,44.718,1.297,"Friday, 4 October 2019 11:01:59 AM"
82,53.957,44.96,1.083,"Friday, 4 October 2019 11:02:40 AM"
82,54.231,44.53,1.239,"Friday, 4 October 2019 11:03:21 AM"
82 - Average,54.058,44.736,1.206,"Friday, 4 October 2019 11:01:59 AM"
82,26.545,57.094,16.361,"Friday, 4 October 2019 11:09:56 AM"
82,27.972,56.862,15.166,"Friday, 4 October 2019 11:10:37 AM"
82,29.098,57.288,13.615,"Friday, 4 October 2019 11:11:18 AM"
82 - Average,27.872,57.081,15.047,"Friday, 4 October 2019 11:09:56 AM"
82,26.545,57.094,16.361,"Friday, 4 October 2019 11:09:56 AM"
82,27.972,56.862,15.166,"Friday, 4 October 2019 11:10:37 AM"
82,29.098,57.288,13.615,"Friday, 4 October 2019 11:11:18 AM"
82,27.872,57.081,15.047,"Friday, 4 October 2019 11:09:56 AM"
70,26.545,57.094,16.361,"Friday, 4 October 2019 11:09:56 AM"
70,27.972,56.862,15.166,"Friday, 4 October 2019 11:10:37 AM"
70,29.098,57.288,13.615,"Friday, 4 October 2019 11:11:18 AM"
70,27.872,57.081,15.047,"Friday, 4 October 2019 11:09:56 AM"
70 - Average,27.872,57.081,15.047,"Friday, 4 October 2019 11:09:56 AM"
102,39.392,43.441,16.393,"Friday, 4 October 2019 11:16:20 AM"
102,40.284,48.158,11.558,"Friday, 4 October 2019 11:17:01 AM"
102,41.109,47.281,11.609,"Friday, 4 October 2019 11:17:41 AM"
102 - Average,40.262,46.294,13.188,"Friday, 4 October 2019 11:16:20 AM"
126,44.804,42.397,12.587,"Friday, 4 October 2019 11:21:29 AM"
126,46.728,45.988,7.284,"Friday, 4 October 2019 11:22:10 AM"
126,46.791,46.207,7.002,"Friday, 4 October 2019 11:22:51 AM"
126 - Average,46.107,44.864,8.954,"Friday, 4 October 2019 11:21:29 AM"
75,39.717,47.164,13.119,"Friday, 4 October 2019 11:27:20 AM"
75,40.552,47.26,12.188,"Friday, 4 October 2019 11:28:01 AM"
75,41.042,47.255,11.704,"Friday, 4 October 2019 11:28:41 AM"
75 - Average,40.437,47.226,12.337,"Friday, 4 October 2019 11:27:20 AM"
176,46.713,43.052,10.019,"Friday, 4 October 2019 11:33:25 AM"
176,51.359,48.298,0.343,"Friday, 4 October 2019 11:34:06 AM"
176,45.105,45.663,8.971,"Friday, 4 October 2019 11:34:47 AM"
176 - Average,47.726,45.669,6.446,"Friday, 4 October 2019 11:33:25 AM"
166,44.804,42.397,12.587,"Friday, 4 October 2019 11:21:29 AM"
166,46.728,45.988,7.284,"Friday, 4 October 2019 11:22:10 AM"
166,46.791,46.207,7.002,"Friday, 4 October 2019 11:22:51 AM"
166,46.107,44.864,8.954,"Friday, 4 October 2019 11:21:29 AM"
166 - Average,46.107,44.864,8.954,"Friday, 4 October 2019 11:21:29 AM"
187,49.888,45.475,4.637,"Friday, 4 October 2019 11:40:44 AM"
187,51.336,46.159,2.506,"Friday, 4 October 2019 11:41:25 AM"
187,52.173,47.631,0.196,"Friday, 4 October 2019 11:42:06 AM"
187 - Average,51.132,46.42,2.447,"Friday, 4 October 2019 11:40:44 AM"
126,40.359,35.646,19.395,"Friday, 4 October 2019 11:46:26 AM"
126,46.269,42.752,10.98,"Friday, 4 October 2019 11:47:07 AM"
126,45.703,42.566,11.732,"Friday, 4 October 2019 11:47:47 AM"
126 - Average,44.11,40.321,14.035,"Friday, 4 October 2019 11:46:26 AM"
