Sample Name,Result 0.01µm-7.00µm,Result 7.00µm-63.00µm,Result 63.00µm-1000.00µm,Measurement date and time
Trial - Average,65.266,34.599,0.135,"Monday, 3 September 2018 4:01:26 PM"
Trial - Average,59.813,36.862,3.325,"Monday, 3 September 2018 5:28:22 PM"
Trial - Average,60.794,37.867,1.338,"Monday, 3 September 2018 5:35:20 PM"
Trial - Average,57.592,41.67,0.738,"Tuesday, 4 September 2018 9:22:53 AM"
179 trial - Average,60.774,38.812,0.414,"Tuesday, 4 September 2018 9:29:29 AM"
149 trial,57.592,41.67,0.738,"Tuesday, 4 September 2018 9:22:53 AM"
149 trial 2,60.794,37.867,1.338,"Monday, 3 September 2018 5:35:20 PM"
SAN 150 - Average,22.562,56.661,20.777,"Wednesday, 5 September 2018 6:41:01 PM"
SAN 150 - Average,13.401,38.088,48.511,"Wednesday, 5 September 2018 7:05:43 PM"
SAN 150 - Average,8.485,24.656,66.859,"Wednesday, 5 September 2018 7:17:38 PM"
SAN 10FD - Average,18.249,65.072,16.679,"Wednesday, 5 September 2018 7:23:36 PM"
SAN 10FD - Average,19.73,62.618,17.653,"Wednesday, 5 September 2018 7:33:55 PM"
SAN 10FD - Average,3.653,11.131,85.217,"Wednesday, 5 September 2018 7:39:21 PM"
SAN 150 - Average,3.653,11.131,85.217,"Wednesday, 5 September 2018 7:39:21 PM"
SAN 61 - Average,7.952,59.881,32.167,"Tuesday, 11 September 2018 5:47:18 PM"
SAN 57 - Average,10.008,51.932,38.06,"Tuesday, 11 September 2018 5:58:48 PM"
SAN 57 - Average,9.373,51.781,38.846,"Tuesday, 11 September 2018 6:06:33 PM"
SAN 57 - Average,37.444,62.343,0.213,"Wednesday, 12 September 2018 1:58:48 PM"
SAN 75 - Average,38.324,46.139,15.536,"Wednesday, 12 September 2018 2:05:40 PM"
SAN 54 -Average,37.444,62.343,0.213,"Wednesday, 12 September 2018 1:58:48 PM"
SAN 54 -Average,37.444,62.343,0.213,"Wednesday, 12 September 2018 1:58:48 PM"
SAN 79 - Average,43.415,34.621,21.964,"Wednesday, 12 September 2018 2:14:05 PM"
SAN 62 - Average,34.388,62.855,2.757,"Wednesday, 12 September 2018 2:19:35 PM"
SAN 161 - Average,48.637,42.951,8.412,"Wednesday, 12 September 2018 2:25:00 PM"
SAN 69 - Average,11.901,55.586,32.513,"Wednesday, 12 September 2018 2:31:03 PM"
SAN 90 - Average,30.405,34.68,34.916,"Wednesday, 12 September 2018 2:36:41 PM"
SAN 159 - Average,10.447,62.336,27.217,"Wednesday, 12 September 2018 2:42:08 PM"
SAN 82 - Average,51.693,44.521,3.786,"Wednesday, 12 September 2018 2:49:23 PM"
SAN 60 - Average,20.777,58.048,21.175,"Wednesday, 12 September 2018 2:54:29 PM"
SAN 38 - Average,5.008,62.445,32.41,"Wednesday, 12 September 2018 3:01:01 PM"
SAN 60 - Average,20.491,70.101,9.408,"Thursday, 28 March 2019 3:28:31 PM"
SAN 149 March 19 - Average,50.548,43.94,5.511,"Thursday, 28 March 2019 3:34:50 PM"
SAN 97 - Average,45.498,45.524,8.978,"Thursday, 28 March 2019 3:41:02 PM"
SAN 97-2 - Average,25.897,29.527,44.576,"Thursday, 28 March 2019 3:49:20 PM"
SAN 96 - Average,41.40285,51.05625,7.540906,
SAN 80 - Average,46.51733,48.74202,4.488943,
SAN 140 - Average,42.60844,47.47753,8.726788,
SAN 107 - Average,40.52151,47.17956,10.00101,
SAN 76,20.92775,66.22425,12.848,
