d (0.1),d (0.5),d (0.9),Result Between User Sizes (Sizes in um),..5,..6,..7,..8,..9,..10,..11,..12,..13,..14,..15,..16,..17,..18,..19,..20,..21,..22,..23,..24,..25,..26,..27,..28,..29,..30,..31,..32,..33,..34,..35,..36,..37,..38,..39,..40,..41,..42,..43,..44,..45,..46,..47,..48,..49,..50,..51,..52,..53,..54,..55,..56,..57,..58,..59,..60,..61,..62,..63,..64,..65,..66,..67,..68,..69,..70,..71,..72,..73,..74,..75,..76,..77,..78,..79,..80,..81,..82,..83,..84,..85,..86,..87,..88,..89,..90,..91,..92,..93,..94,..95,..96,..97,..98,..99,..100,..101,..102,..103,..104,Sample Name
,,,0.01,0.011482,0.013183,0.015136,0.017378,0.019953,0.022909,0.026303,0.0302,0.034674,0.039811,0.045709,0.052481,0.060256,0.069183,0.079433,0.091201,0.104713,0.120226,0.138038,0.158489,0.18197,0.20893,0.239883,0.275423,0.316228,0.363078,0.416869,0.47863,0.549541,0.630957,0.724436,0.831764,0.954993,1.096478,1.258925,1.44544,1.659587,1.905461,2.187762,2.511886,2.884031,3.311311,3.801894,4.365158,5.011872,5.754399,6.606934,7.585776,8.709636,10,11.481536,13.182567,15.135612,17.378008,19.952623,22.908677,26.30268,30.199517,34.673685,39.810717,45.708819,52.480746,60.255959,69.183097,79.432823,91.201084,104.712855,120.226443,138.038426,158.489319,181.970086,208.929613,239.883292,275.42287,316.227766,363.078055,416.869383,478.630092,549.540874,630.957344,724.43596,831.763771,954.992586,1096.478196,1258.925412,1445.439771,1659.586907,1905.460718,2187.761624,2511.886432,2884.031503,3311.311215,3801.893963,4365.158322,5011.872336,5754.399373,6606.93448,7585.77575,8709.6359,10000,
1.424,5.134,21.456,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0373,0.259464,0.45996,0.647623,0.839153,1.039657,1.26519,1.540393,1.879339,2.298103,2.78265,3.307867,3.821829,4.278262,4.641198,4.893411,5.034159,5.073881,5.031027,4.925828,4.773626,4.589671,4.377772,4.149465,3.901917,3.64396,3.365205,3.070592,2.754104,2.426931,2.091285,1.760925,1.441396,1.143364,0.872237,0.633345,0.431226,0.268213,0.152731,0.075575,0.020168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,179 trial - Average
2.937,22.95,94.258,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01255,0.081281,0.239679,0.347888,0.443391,0.509539,0.546607,0.555962,0.543732,0.521144,0.502445,0.504077,0.539762,0.615818,0.73082,0.874785,1.03865,1.216617,1.406481,1.608197,1.819814,2.041812,2.266577,2.490282,2.698322,2.885055,3.037527,3.156508,3.239881,3.297469,3.340398,3.387033,3.454081,3.556349,3.696914,3.868693,4.04776,4.200054,4.284826,4.264861,4.115127,3.831932,3.428827,2.94676,2.428732,1.919604,1.420747,0.951538,0.510933,0.220478,0.167911,0.114494,0.063355,0.005917,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SAN 150 - Average
5.041,60.041,179.623,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.013611,0.114094,0.191967,0.252097,0.296019,0.323132,0.332249,0.328163,0.317159,0.308215,0.311313,0.334857,0.382461,0.452809,0.539149,0.635289,0.737329,0.844128,0.956492,1.074766,1.20094,1.332387,1.46841,1.601252,1.727895,1.839086,1.933179,2.00389,2.052489,2.080779,2.098357,2.119579,2.165091,2.257321,2.419783,2.668739,3.012534,3.444044,3.938303,4.456696,4.939088,5.325836,5.547822,5.557939,5.331367,4.870714,4.230076,3.465199,2.690899,1.924239,1.177657,0.363633,0.009477,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SAN 150 - Average
8.557,106.392,255.446,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006369,0.069257,0.114485,0.154354,0.18376,0.201799,0.20951,0.208494,0.202954,0.198157,0.200302,0.214724,0.244008,0.287837,0.342509,0.40439,0.470796,0.540334,0.612608,0.686899,0.763755,0.841356,0.919643,0.995086,1.06751,1.133631,1.194805,1.248903,1.297447,1.339339,1.376766,1.411817,1.450852,1.503043,1.583912,1.713357,1.916846,2.220439,2.645093,3.203217,3.879607,4.644983,5.421377,6.130328,6.65366,6.905921,6.814894,6.359248,5.592369,4.587088,3.500403,2.42266,1.507364,0.199733,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SAN 150 - Average
4.287,19.878,94.57,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.034628,0.087362,0.123265,0.157857,0.185445,0.223448,0.28036,0.368216,0.490214,0.643942,0.816862,0.997244,1.177686,1.358334,1.546266,1.750822,1.986421,2.259491,2.579059,2.934623,3.322434,3.713434,4.09582,4.431947,4.706258,4.889959,4.972985,4.947313,4.815867,4.592274,4.2944,3.950355,3.586905,3.23002,2.899485,2.602434,2.339538,2.095512,1.856814,1.604897,1.341952,1.073108,0.827822,0.622004,0.477632,0.394389,0.370167,0.390068,0.429121,0.438878,0.409621,0.211456,0.063587,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SAN 10FD - Average
3.876,19.896,98.257,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.057253,0.117718,0.176464,0.211962,0.24865,0.293488,0.360719,0.460993,0.595717,0.759678,0.938217,1.119236,1.296092,1.469848,1.647978,1.839544,2.057586,2.307005,2.594668,2.909919,3.248785,3.586095,3.912719,4.19821,4.431459,4.590004,4.666741,4.655045,4.556651,4.380991,4.140841,3.857614,3.552602,3.247746,2.961125,2.700685,2.468865,2.253282,2.041699,1.815697,1.573747,1.316038,1.065755,0.833288,0.638416,0.47967,0.361906,0.279853,0.227153,0.188542,0.157644,0.103612,0.044785,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SAN 10FD - Average
31.193,137.819,257.132,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.059302,0.074125,0.085074,0.089291,0.091209,0.090012,0.089039,0.09077,0.097903,0.111858,0.132807,0.159149,0.188889,0.219964,0.250682,0.279945,0.306989,0.332217,0.356087,0.380546,0.407205,0.439256,0.478121,0.525996,0.579532,0.634428,0.679554,0.703977,0.696782,0.654422,0.58735,0.524312,0.517216,0.637347,0.96603,1.575907,2.514419,3.763119,5.257141,6.823056,8.281738,9.380029,9.94596,9.84844,9.07305,7.752022,6.053291,4.244424,2.600175,0.369845,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SAN 10FD - Average
31.193,137.819,257.132,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.059302,0.074125,0.085074,0.089291,0.091209,0.090012,0.089039,0.09077,0.097903,0.111858,0.132807,0.159149,0.188889,0.219964,0.250682,0.279945,0.306989,0.332217,0.356087,0.380546,0.407205,0.439256,0.478121,0.525996,0.579532,0.634428,0.679554,0.703977,0.696782,0.654422,0.58735,0.524312,0.517216,0.637347,0.96603,1.575907,2.514419,3.763119,5.257141,6.823056,8.281738,9.380029,9.94596,9.84844,9.07305,7.752022,6.053291,4.244424,2.600175,0.369845,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SAN 150 - Average
8.293,35.147,183.961,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06408,0.105633,0.138654,0.154589,0.16388,0.168419,0.174959,0.188763,0.213025,0.248249,0.292172,0.343257,0.40216,0.472115,0.558492,0.667275,0.807772,0.986559,1.214937,1.493895,1.832098,2.216859,2.649704,3.099713,3.555894,3.977198,4.342761,4.617147,4.784532,4.833617,4.770758,4.61598,4.399221,4.154658,3.911785,3.68585,3.479972,3.279553,3.069607,2.832308,2.571365,2.292457,2.021134,1.762688,1.530055,1.31879,1.139281,0.990871,0.872764,0.770794,0.667989,0.537072,0.376683,0.155656,0.024302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SAN 61 - Average
