"","median","Depth","d_g_wet_sed","Identifier","NorTi","NorAl","NorSi","NorSr","NorRb","NorCa","NorFe","sedrate.mm","Water","Dry_bulk_density2","Fraction","Percentage","averaged.d13C","averaged.C.N","averaged.d15N","averaged.C","averaged.N","max","min","mean","d.0.5","PrC","age_k","Fe_Ti","Si_Ti","Si_Al"
"1",216,0,6099596.58422591,26,NA,NA,NA,NA,NA,NA,NA,0.0125786163522013,NA,NA,NA,NA,-23.64,11.2,2.81,16.2,1.438,-60,778,259,NA,NA,0.216,NA,NA,NA
"2",216,0,6099596.58422591,26,NA,NA,NA,NA,NA,NA,NA,0.0125786163522013,NA,NA,NA,NA,-23.64,11.2,2.81,16.2,1.438,-60,778,259,NA,NA,0.216,NA,NA,NA
"3",216,0,6099596.58422591,26,NA,NA,NA,NA,NA,NA,NA,0.0125786163522013,NA,NA,NA,NA,-23.64,11.2,2.81,16.2,1.438,-60,778,259,NA,NA,0.216,NA,NA,NA
"4",216,0,6099596.58422591,26,NA,NA,NA,NA,NA,NA,NA,0.0125786163522013,NA,NA,NA,NA,-23.64,11.2,2.81,16.2,1.438,-60,778,259,NA,NA,0.216,NA,NA,NA
"5",216,0,6099596.58422591,26,NA,NA,NA,NA,NA,NA,NA,0.0125786163522013,NA,NA,NA,NA,-23.64,11.2,2.81,16.2,1.438,-60,778,259,NA,NA,0.216,NA,NA,NA
"6",216,0,6099596.58422591,26,NA,NA,NA,NA,NA,NA,NA,0.0125786163522013,NA,NA,NA,NA,-23.64,11.2,2.81,16.2,1.438,-60,778,259,NA,NA,0.216,NA,NA,NA
"7",328,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.328,NA,NA,NA
"8",411,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.411,NA,NA,NA
"9",494,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.494,NA,NA,NA
"10",577,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.577,NA,NA,NA
"11",658,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.658,NA,NA,NA
"12",740,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.74,NA,NA,NA
"13",823,0.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.823,NA,NA,NA
"14",904,0.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.904,NA,NA,NA
"15",988,0.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.988,NA,NA,NA
"16",1025,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0125786163522013,62.8250953413595,0.02,"sumdepth2",1.69841,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.025,NA,NA,NA
"17",1025,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0125786163522013,62.8250953413595,0.02,"sumdepth69",72.110032,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.025,NA,NA,NA
"18",1025,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0125786163522013,62.8250953413595,0.02,"sumdepth_sand",26.191556,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.025,NA,NA,NA
"19",1074,0.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.074,NA,NA,NA
"20",1156,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.156,NA,NA,NA
"21",1239,1.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.239,NA,NA,NA
"22",1328,1.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.328,NA,NA,NA
"23",1418,1.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.418,NA,NA,NA
"24",1501,1.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.501,NA,NA,NA
"25",1582,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.582,NA,NA,NA
"26",1668,1.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.668,NA,NA,NA
"27",1749,1.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.749,NA,NA,NA
"28",1828,1.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.828,NA,NA,NA
"29",1838,2,38468.1442461705,NA,NA,NA,NA,NA,NA,NA,NA,0.0125786163522013,48.5641452502341,0.31585279547063,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.838,NA,NA,NA
"30",1838,2,38468.1442461705,NA,NA,NA,NA,NA,NA,NA,NA,0.0125786163522013,48.5641452502341,0.31585279547063,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.838,NA,NA,NA
"31",1838,2,38468.1442461705,NA,NA,NA,NA,NA,NA,NA,NA,0.0125786163522013,48.5641452502341,0.31585279547063,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.838,NA,NA,NA
"32",1838,2,38468.1442461705,NA,NA,NA,NA,NA,NA,NA,NA,0.0125786163522013,48.5641452502341,0.31585279547063,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.838,NA,NA,NA
"33",1838,2,38468.1442461705,NA,NA,NA,NA,NA,NA,NA,NA,0.0125786163522013,48.5641452502341,0.31585279547063,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.838,NA,NA,NA
"34",1838,2,38468.1442461705,NA,NA,NA,NA,NA,NA,NA,NA,0.0125786163522013,48.5641452502341,0.31585279547063,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.838,NA,NA,NA
"35",1838,2,38468.1442461705,NA,NA,NA,NA,NA,NA,NA,NA,0.0125786163522013,48.5641452502341,0.31585279547063,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.838,NA,NA,NA
"36",1906,1.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.906,NA,NA,NA
"37",1985,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.985,NA,NA,NA
"38",2067,2.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.067,NA,NA,NA
"39",2145,2.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.145,NA,NA,NA
"40",2218,2.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.218,NA,NA,NA
"41",2294,2.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.294,NA,NA,NA
"42",2372,2.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.372,NA,NA,NA
"43",2449,2.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.449,NA,NA,NA
