depth	min	max	median	mean
40	7226	9622	8857	8700
41	8010	9650	9104	9008
42	8791	9730	9357	9315
43	9496	9882	9601	9622
44	9582	10446	9877	9930
45	9616	11216	10127	10237
46	9812	11849	10545	10639
47	9947	12646	10949	11041
48	10065	13482	11311	11443
49	10159	14387	11702	11844
50	10255	15370	12073	12246
51	10770	15643	12590	12722
52	11097	15882	13124	13198
53	11335	16067	13666	13674
54	11526	16366	14216	14149
55	11740	17024	14731	14625
56	12190	17165	15040	14948
57	12654	17293	15367	15271
58	13062	17469	15703	15594
59	13336	17756	16046	15916
60	13435	18129	16378	16239
61	14342	18201	16709	16601
62	15173	18265	17047	16962
63	15901	18341	17397	17323
64	16416	18475	17766	17685
65	16845	18713	18153	18046
66	17501	18757	18343	18280
67	18072	18822	18544	18514
68	18324	19028	18763	18747
69	18469	19622	18948	18981
70	18556	20285	19123	19215
71	18681	20426	19263	19349
72	18740	20588	19412	19484
73	18791	20783	19541	19618
74	18839	21020	19671	19752
75	18868	21370	19793	19887
76	18979	21487	19925	20015
77	19079	21604	20070	20143
78	19161	21754	20196	20271
79	19229	21979	20328	20399
80	19270	22233	20443	20527
81	19419	22299	20593	20662
82	19524	22394	20740	20797
83	19583	22573	20883	20932
84	19651	22742	21026	21068
85	19720	22998	21167	21203
86	19828	23076	21309	21340
87	19940	23236	21441	21478
88	20019	23387	21585	21616
89	20082	23571	21729	21754
90	20151	23829	21858	21891
91	20349	23960	22000	22032
92	20441	24097	22134	22173
93	20532	24260	22268	22314
94	20616	24436	22421	22454
95	20710	24698	22554	22595
96	20867	24823	22704	22730
97	20986	24929	22849	22865
98	21107	25045	22995	23001
99	21218	25182	23118	23136
100	21277	25323	23249	23271
101	21498	25422	23398	23414
102	21637	25557	23545	23557
103	21767	25734	23681	23699
104	21908	25883	23825	23842
105	21982	26108	23967	23985
106	22087	26178	24120	24125
107	22239	26289	24263	24265
108	22396	26395	24409	24405
109	22526	26577	24564	24545
110	22639	26731	24706	24684
111	22816	26797	24852	24826
112	22957	26897	24982	24967
113	23095	26983	25117	25108
114	23286	27126	25261	25249
115	23393	27282	25412	25390
116	23536	27345	25549	25525
117	23732	27396	25681	25659
118	23884	27457	25827	25794
119	24017	27568	25984	25928
120	24122	27676	26129	26063
121	24363	27767	26254	26194
122	24515	27816	26378	26326
123	24623	27922	26526	26458
124	24764	28015	26676	26589
125	24908	28128	26813	26721
126	25182	28199	26948	26865
127	25371	28266	27086	27009
128	25514	28351	27240	27152
129	25634	28446	27397	27296
130	25744	28579	27547	27440
131	26084	28618	27667	27581
132	26332	28665	27795	27722
133	26552	28725	27942	27863
134	26770	28820	28090	28004
135	26907	28946	28230	28145
136	27319	28986	28346	28285
137	27672	29027	28462	28425
138	28000	29072	28584	28565
139	28248	29158	28703	28705
140	28382	29296	28846	28845
141	28481	29450	28968	28964
142	28547	29650	29085	29082
143	28612	29886	29189	29201
144	28642	30166	29292	29319
145	28677	30463	29392	29438
146	28815	30532	29510	29552
147	28897	30615	29628	29665
148	28980	30702	29744	29779
149	29039	30857	29873	29893
150	29081	31040	29981	30007
151	29230	31094	30097	30117
152	29355	31150	30216	30228
153	29443	31220	30348	30339
154	29502	31289	30467	30449
155	29556	31398	30581	30560
156	29722	31443	30687	30670
157	29871	31491	30795	30780
158	30003	31544	30919	30891
159	30099	31620	31042	31001
160	30182	31741	31160	31111
161	30464	31772	31257	31222
162	30735	31798	31352	31334
