depth	min	max	median	mean
6	4644	5192	4845	4856
7	4718	5296	4936	4952
8	4752	5456	5024	5049
9	4785	5703	5106	5145
10	4807	5964	5190	5242
11	4832	6222	5273	5338
12	4918	6282	5381	5437
13	4969	6366	5490	5537
14	5015	6472	5596	5636
15	5047	6641	5696	5736
16	5082	6810	5782	5835
17	5193	6892	5860	5925
18	5258	6975	5952	6014
19	5305	7077	6066	6104
20	5338	7196	6164	6193
21	5368	7337	6262	6283
22	5482	7388	6365	6378
23	5563	7439	6470	6472
24	5642	7504	6568	6567
25	5700	7621	6674	6661
26	5757	7780	6768	6756
27	5870	7829	6872	6853
28	5968	7889	6975	6951
29	6033	7964	7075	7049
30	6107	8054	7173	7147
31	6162	8175	7266	7244
32	6309	8213	7369	7348
33	6444	8259	7484	7452
34	6561	8323	7601	7556
35	6653	8416	7704	7660
36	6722	8531	7815	7764
37	6896	8561	7909	7864
38	7090	8599	8006	7964
39	7230	8645	8108	8063
40	7352	8709	8214	8163
41	7444	8798	8326	8263
42	7822	8844	8445	8405
43	8184	8899	8569	8547
44	8484	8993	8689	8689
45	8612	9130	8824	8831
46	8664	9418	8948	8973
47	8750	9556	9073	9089
48	8798	9738	9184	9206
49	8829	9965	9283	9322
50	8859	10264	9380	9438
51	8888	10542	9482	9554
52	9036	10584	9615	9677
53	9116	10668	9761	9801
54	9184	10777	9907	9925
55	9228	10919	10045	10049
56	9267	11129	10170	10172
57	9426	11185	10294	10296
58	9548	11256	10429	10419
59	9645	11324	10568	10543
60	9709	11430	10702	10666
61	9767	11562	10831	10790
62	10027	11602	10940	10906
63	10242	11643	11053	11022
64	10414	11697	11174	11138
65	10526	11775	11301	11254
66	10596	11875	11420	11370
67	10917	11911	11504	11483
68	11211	11965	11595	11596
69	11463	12036	11694	11709
70	11552	12174	11811	11821
71	11583	12404	11912	11934
72	11681	12449	11993	12014
73	11728	12516	12084	12094
74	11768	12610	12165	12174
75	11803	12746	12244	12254
76	11836	12889	12324	12334
77	11951	12934	12414	12420
78	12040	12970	12500	12506
79	12101	13021	12603	12593
80	12157	13094	12699	12679
81	12206	13210	12788	12765
82	12406	13239	12867	12856
83	12607	13273	12945	12947
84	12736	13326	13026	13039
85	12821	13421	13113	13130
86	12882	13587	13209	13221
87	12966	13709	13315	13325
88	13039	13911	13409	13429
89	13074	14157	13502	13533
90	13108	14417	13588	13637
91	13134	14684	13673	13741
92	13235	14788	13783	13847
93	13306	14925	13896	13953
94	13354	15057	14002	14060
95	13397	15294	14099	14166
96	13431	15522	14196	14273
97	13524	15607	14327	14390
98	13584	15730	14458	14508
99	13646	15884	14583	14625
100	13689	16059	14702	14743
101	13734	16239	14813	14860
102	13846	16290	14935	14974
103	13935	16383	15057	15087
104	14015	16494	15183	15200
105	14046	16654	15303	15313
106	14102	16810	15415	15426
107	14232	16886	15534	15537
108	14350	16977	15645	15648
109	14438	17079	15762	15759
110	14514	17216	15871	15870
111	14584	17371	15979	15981
112	14703	17450	16082	16087
113	14800	17517	16194	16193
114	14888	17653	16299	16299
115	14975	17780	16409	16405
116	15019	17913	16528	16511
117	15154	17974	16630	16615
118	15273	18048	16731	16718
119	15353	18113	16838	16822
120	15439	18191	16950	16925
121	15526	18304	17069	17029
122	15695	18363	17175	17134
123	15867	18437	17281	17239
124	15990	18501	17390	17344
125	16073	18582	17503	17449
126	16173	18690	17598	17553
127	16328	18725	17711	17659
128	16454	18756	17827	17764
129	16551	18832	17942	17870
130	16642	18903	18057	17975
131	16728	19009	18162	18081
132	16931	19033	18269	18189
133	17084	19078	18378	18296
134	17239	19110	18494	18404
135	17362	19186	18599	18512
136	17475	19284	18715	18620
137	17812	19318	18811	18737
138	18138	19344	18907	18855
139	18438	19395	18999	18973
140	18705	19453	19095	19091
141	18863	19550	19211	19208
142	18998	19596	19302	19300
143	19086	19677	19392	19391
144	19153	19802	19485	19482
145	19200	19956	19576	19574
146	19226	20126	19661	19665
