labID,age,error,depth
OZY416,2270,70,3
OZX672 ,3840,45,6
OZY131,4555,30,6
OZX765 ,4285,30,6
OZX765U1 ,4120,100,6
OZX765U2 ,4180,140,6
OZY417,4230,70,12.5
OZY418,7140,80,23
OXY333,6520,30,32
OZY419,6150,30,42
OZX673,8665,40,43
OZX766,7875,40,43
OZX674,15250,60,67
OZX767,10045,50,67
OZY420,17670,160,76
OZY758,10940,110,82
OZY421,19530,80,90
OZY422,18350,170,105
Wk50327,23549,126,114
OZX675,24290,120,137
OZX768,15560,90,137
OZX676,26290,260,146
OZY132,12050,40,146
OZX769,16270,70,146
Wk50328,25931,167,150
OZX677,27140,130,162
