OZCode,ID,Carbon_fraction,Pretreatment,processed,d13C,d13C_error,PMC,PMC_error,Conv_RC,Conv_RC_error,Pretreat_comments,Other_comments
OZY417,SAN 38.5,SPAC,Hypy,Jul-19,,,59.1,0.49,"4,230",70,"30 % H2O2 overnight,  2 M HC 3 h, Hypy, 6 M HCl 2 h",
OZY416,SAN 29,SPAC,Hypy,Jul-19,,,75.42,0.6,"2,270",70,"30 % H2O2 overnight,  2 M HC 3 h, Hypy, 6 M HCl 2 h",
OZY418,SAN 51,SPAC,Hypy,Jul-19,,,41.13,0.4,"7,140",80,"30 % H2O2 overnight,  2 M HC 3 h, Hypy, 6 M HCl 2 h",
OZY419,SAN 70,Cellulose,Gillespie,Jul-19,,,46.51,0.45,"6,150",80,Gillespie,
OZY420,SAN 103,SPAC,Hypy,Jul-19,,,11.08,0.21,"17,670",160,"30 % H2O2 overnight,  2 M HC 3 h, Hypy, 6 M HCl 2 h",
OZY421,SAN 117,SPAC,Hypy,Jul-19,-24.6,0.1,8.79,0.08,"19,450",80,"30 % H2O2 overnight,  2 M HC 3 h, Hypy, 6 M HCl 2 h",
OZY422,SAN 132,SPAC,Hypy,Jul-19,,,10.19,0.2,"18,350",170,"30 % H2O2 overnight,  2 M HC 3 h, Hypy, 6 M HCl 2 h",
OZY423,SAN 29,Charcoal >63 um,ABA,Jul-19,,,24.61,0.48,"11,260",160,"10 % H2O2 overnight, micromanipulator, weak ABA",
OZY424,SAN 51,Charcoal >63 um,ABA,Jul-19,,,,,,,"10 % H2O2 overnight, micromanipulator, weak ABA",
OZX673 ,SAN 71 ,SPAC,Hypy,Nov-18,-23.3,0.2,34,0.17,"8,660",40,"30 % H2O2 overnight,  2 M HC 3 h, Hypy, 6 M HCl 2 h",
OZX674 ,SAN 94 ,SPAC,Hypy,Nov-18,-23.9,0.2,14.98,0.1,"15,240",60,"30 % H2O2 overnight,  2 M HC 3 h, Hypy, 6 M HCl 2 h",
OZX675 ,SAN 162 ,SPAC,Hypy,Nov-18,-22.8,0.1,4.86,0.07,"24,340",190,"30 % H2O2 overnight,  2 M HC 3 h, Hypy, 6 M HCl 2 h",
OZX677,SAN 187 ,SPAC,Hypy,Nov-18,-22.2,0.2,3.41,0.05,"27,100",140,"30 % H2O2 overnight,  2 M HC 3 h, Hypy, 6 M HCl 2 h",
OZX672 ,SAN 32 ,SPAC,Hypy,Nov-18,,,62.01,0.31,"3,840",45,"30 % H2O2 overnight,  2 M HC 3 h, Hypy, 6 M HCl 2 h",
OZX675 ,SAN 162 ,SPAC,Hypy,Nov-18,,,4.21,0.08,"25,450",170,"30 % H2O2 overnight,  2 M HC 3 h, Hypy, 6 M HCl 2 h",
OZX676 ,SAN 171 ,SPAC,Hypy,Nov-18,,,3.79,0.12,"26,290",260,"30 % H2O2 overnight,  2 M HC 3 h, Hypy, 6 M HCl 2 h",
OZX765 ,SAN 32 ,Bulk organics,ABA,Nov-18,-24.7,0.1,58.64,0.2,"4,165",35,ABA,
OZX765U1 ,SAN 32 ,Charcoal >250 um,ABA,Nov-18,,,59.85,0.71,"4,120",100,"33 % H2O2 overnight, HNO3 (conc), micromanipulator, weak ABA",
OZX765U2 ,SAN 32,Charcoal >63 um,ABA,Nov-18,,,59.46,0.99,"4,180",140,"33 % H2O2 overnight, HNO3 (conc), micromanipulator, weak ABA",
OZX766 ,SAN 71 ,Bulk organics,ABA,Nov-18,-26.4,0.1,37.53,0.16,"7,750",35,ABA,
OZX767 ,SAN 94 ,Bulk organics,ABA,Nov-18,-27,0.1,28.63,0.16,"9,900",50,ABA,
OZX768 ,SAN 162 ,Bulk organics,ABA,Nov-18,-25.2,0.3,14.42,0.15,"15,560",90,ABA,
OZX769 ,SAN 171 ,Bulk organics,ABA,Nov-18,-24.1,0.7,13.2,0.11,"16,270",70,ABA,
OZY131 ,SAN 32 ,Pollen,ABA,Mar-19,-25.4,0.3,56.72,0.18,"4,450",30,"HF, ABA",
OZY132 ,SAN 171 ,Pollen,ABA,Mar-19,-26.9,0.1,22.32,0.1,"11,920",40,"HF, ABA",
OZY333 ,SAN 60 ,SPAC,Hypy,Mar-19,-22.9,0.1,44.42,0.15,"6,435",30,"30 % H2O2 overnight,  2 M HC 3 h, Hypy, 6 M HCl 2 h",
OZY758,SAN 109,Charcoal >63 um,ABA,Aug-19,,,25.61,0.33,"10,940",110,"10 % H2O2 overnight, micromanipulator, weak ABA",SAN 107_112
OZY321,SAN 61,SPAC,Hypy,Aug-19,,,,,,,"30 % H2O2 overnight,  2 M HC 3 h, Hypy, 6 M HCl 2 h",
Wk50327,SAN 141,Bulk organics,H2O2 + ABA,Oct-19,,,5.3,0.1,"23,549",126,"30 % H2O2 overnight, ABA",
Wk50328,SAN 175,Bulk organics,H2O2 + ABA,Oct-19,,,4,0.1,"25,931",167,"30 % H2O2 overnight, ABA",
