"","Identifier","Ampl..44","d13C","d15N","X.C.1","X.N.1","C.N"
"8","179",7340,-18.46,NA,0.6,NA,NA
"9","182",10098,-20.08,NA,0.7,NA,NA
"10","76",15185,-28,NA,3.2,NA,NA
"11","60",21504,-26.66,NA,34.2,NA,NA
"12","58",20586,-26.55,NA,35.5,NA,NA
"13","154",16949,-25.39,NA,0.7,NA,NA
"14","106",12683,-26.56,NA,1,NA,NA
"15","127",10073,-26.05,NA,0.8,NA,NA
"16","117",9926,-26.22,NA,0.8,NA,NA
"17","142",10530,-25.57,NA,0.7,NA,NA
"18","75",9308,-27.6,NA,2.5,NA,NA
"19","171",7339,-24.96,NA,0.5,NA,NA
"20","190",8878,-24.96,NA,0.5,NA,NA
"21","191",16648,-25.56,NA,1.6,NA,NA
"22","159",10934,-11.63,NA,0.4,NA,NA
"29","108",10131,-26.16,NA,0.8,NA,NA
"30","130",9423,-26.15,NA,0.7,NA,NA
"31","136",8484,-27.09,NA,0.6,NA,NA
"32","53",27645,-26.36,NA,55.6,NA,NA
"33","66",10592,-26.07,NA,15.7,NA,NA
"34","131",8916,-27.92,NA,0.6,NA,NA
"35","73",10602,-26.24,NA,3.6,NA,NA
"36","135",10592,-23.08,NA,0.7,NA,NA
"37","25",10540,-26.02,NA,15.1,NA,NA
"38","133",19820,-25.84,NA,1.5,NA,NA
"39","67",10092,-25.32,NA,21,NA,NA
"40","36",5084,-26.99,NA,5.7,NA,NA
"41","104",49987,NA,NA,22.9,NA,NA
"42","177",6349,-24.98,NA,0.5,NA,NA
"57","144",2638,-23.55,NA,0.1,NA,NA
"58","82",5159,-24.7,NA,0.4,NA,NA
"59","113",4104,-24.46,NA,0.3,NA,NA
"60","155",3318,-24.29,NA,0.2,NA,NA
"61","98",3812,-24.73,NA,0.3,NA,NA
"62","128",1953,-23.55,NA,0.1,NA,NA
"63","86",4591,-24.65,NA,0.3,NA,NA
"64","156",2238,-24.09,NA,0.1,NA,NA
"71","177",6089,-24.89,NA,0.5,NA,NA
"72","34",282,-26.6,NA,0.3,NA,NA
"73","150",2302,-24.09,NA,0.1,NA,NA
"74","32",1886,-24.84,NA,1.8,NA,NA
"75","89",5299,-24.67,NA,0.3,NA,NA
"76","70",8387,-25.02,NA,2.8,NA,NA
"77","74",3592,-25.14,NA,0.4,NA,NA
"101","157",5970,-25.77,NA,0.6,NA,NA
"102","54",18061,-26.65,NA,40.9,NA,NA
"103","155",8884,-25.63,NA,0.7,NA,NA
"104","98",11130,-27.08,NA,1.2,NA,NA
"105","150",7381,-25.91,NA,0.6,NA,NA
"106","104",32267,-24.71,NA,3.9,NA,NA
"107","71",9583,-26.87,NA,6.7,NA,NA
"108","190",4656,-27.51,NA,0.3,NA,NA
"109","74",8497,-24.89,NA,3.1,NA,NA
"110","158",7552,-27.65,NA,0.9,NA,NA
"111","32",4575,-25.76,NA,3.5,NA,NA
"112","89",12620,-25.34,NA,1.9,NA,NA
"113","177",49153,-124.76,NA,5,NA,NA
"120","113",9534,-26.15,NA,0.8,NA,NA
"121","175",9593,-25.67,NA,0.7,NA,NA
"122","82",10135,-26.92,NA,1.9,NA,NA
