Real depth,Identifier
0,26
0.5,26.5
1,27
1.5,27.5
2,28
2.5,28.5
3,29
3.5,29.5
4,30
4.5,30.5
5,31
5.5,31.5
6,32
6.5,32.5
7,33
7.5,33.5
8,34
8.5,34.5
9,35
9.5,35.5
10,36
10.5,36.5
11,37
11.5,37.5
12,38
12.5,38.5
13,39
13.5,39.5
14,38
14.5,38.5
15,39
15.5,39.5
22,50
23,51
24,52
25,53
26,54
27,55
28,56
29,57
30,58
31,59
32,60
33,61
34,62
35,63
36,64
37,65
38,66
39,67
40,68
41,69
42,70
43,71
44,72
45,73
46,74
47,75a
48,75b
49,76
50,77
51,78
52,79
53,80
54,81
55,82
56,83
57,84
58,85
59,86
60,87
61,88
62,89
63,90
64,91
65,92
66,93
67,94
68,95
69,96
70,97
71,98
72,99
73,100
74,101
75,102
76,103
77,104
78,105
79,106
80,107
81,108
82,109
83,110
84,111
85,112
86,113
87,114
88,115
89,116
90,117
91,118
92,119
93,120
94,121
95,122
96,123
97,124
98,125
99,126
100,127
101,128
102,129
103,130
104,131
105,132
106,133
107,134
108,135
109,136
110,137
111,138
112,139
113,140
114,141
115,142
116,143
117,144
118,145
119,146
120,147
121,148
122,149
123,150a
124,150b
125,151a
126,151b
127,152
128,153
129,154
130,155
131,156
132,157
133,158
134,159
135,160
136,161
137,162
138,163
139,164
140,165
141,166
142,167
143,168
144,169
145,170
146,171
147,172
148,173
149,174
150,175
151,176
152,177
153,178
154,179
155,180
156,181
157,182
158,183
159,184
160,185
161,186
162,187
163,188
164,189
165,190
166,191
167,192
168,193
169,194
170,195
171,196
172,197
